Seat_Type,Constituency,Sub_Constituency,Left_Participate,Left_Party,MR_Participate,MR_Party,Right_Participate,Right_Party
AlmaVale,Alington Pass,Alington Pass,yes,NRD,yes,GRF,yes,GCCA
AlmaVale,Bayes Causeway,Bayes Causeway,yes,NRD,yes,GRF,yes,GCCA
AlmaVale,Cotham Town,Cotham Town,yes,NRD,yes,GRF,yes,GCCA
AlmaVale,Cyber City,Cyber City,yes,NRD,yes,GRF,yes,GCCA
AlmaVale,Durdham Mews,Durdham Mews,yes,NRD,yes,GRF,yes,GCCA
AlmaVale,East Almouth,East Almouth,yes,NRD,yes,GRF,yes,GCCA
AlmaVale,East Forest,East Forest,yes,NRD,yes,GRF,yes,GCCA
AlmaVale,East Highland,East Highland,yes,NRD,yes,GRF,yes,GCCA
AlmaVale,Foxton Heath,Foxton Heath,yes,NRD,yes,GRF,yes,GCCA
AlmaVale,Goldcrest Cradle,Goldcrest Cradle,yes,NRD,yes,GRF,yes,GCCA
AlmaVale,Gorton Central,Gorton Central,yes,NRD,yes,GRF,yes,GCCA
AlmaVale,Gorton and Upper Denton,Gorton and Upper Denton,yes,NRD,yes,GRF,yes,GCCA
AlmaVale,Greater Almouth,Greater Almouth,yes,NRD,yes,GRF,yes,GCCA
AlmaVale,Greater Lancer and Westbury Wharf,Greater Lancer and Westbury Wharf,yes,NRD,yes,GRF,yes,GCCA
AlmaVale,Little Lancer,Little Lancer,yes,NRD,yes,GRF,yes,GCCA
AlmaVale,Lower Weslington,Lower Weslington,yes,NRD,yes,GRF,yes,GCCA
AlmaVale,Mid Weslington,Mid Weslington,yes,NRD,yes,GRF,yes,GCCA
AlmaVale,Northfields Market,Northfields Market,yes,NRD,yes,GRF,yes,GCCA
AlmaVale,Outer Central,Outer Central,yes,NRD,yes,GRF,yes,GCCA
AlmaVale,Pebble Town,Pebble Town,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,Red Market,Red Market,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,Slothwood Corner,Slothwood Corner,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,Southwest Almouth and Jackenville,Southwest Almouth and Jackenville,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,Techno Garden East,Techno Garden East,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,Techno Garden West and Leighton,Techno Garden West and Leighton,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,Techno Town,Techno Town,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,Tedding Market,Tedding Market,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,The Central,The Central,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,The City of Alington,The City of Alington,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,The Lake,The Lake,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,The Palace,The Palace,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,The Temple,The Temple,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,Twicken Bush,Twicken Bush,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,Twicken Common,Twicken Common,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,Upper Alington,Upper Alington,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,Upper Eastland and Readington,Upper Eastland and Readington,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,Upper Weslington and Lower Cotham,Upper Weslington and Lower Cotham,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,West Cross,West Cross,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,West Valley,West Valley,yes,LRP,yes,GRF,yes,GCCA
AlmaVale,White Bridge,White Bridge,yes,LRP,yes,GRF,yes,GCCA
HomeDistricts,Shek East and Central,Shek East and Central,yes,NRD,no,,yes,GCCA
HomeDistricts,"Shek West, Rainbow N, LF & Huang","Shek West, Rainbow N, LF & Huang",yes,NRD,no,,yes,GCCA
HomeDistricts,Tong,Tong,yes,NRD,no,,yes,RA
HomeDistricts,Diamond & Rainbow SE,Diamond & Rainbow SE,yes,NRD,no,,yes,GCCA
HomeDistricts,Dragon & Outland,Dragon & Outland,yes,LRP,no,,yes,GCCA
GeneralDirect,Planning and Research,Planning and Research,yes,NRD,yes,GRF,yes,GCCA
GeneralDirect,Applied Financial Maths,Applied Financial Maths,yes,NRD,yes,GRF,yes,GCCA
GeneralDirect,Bayesian Modelling and Statistical Machine Learning,Bayesian Modelling and Statistical Machine Learning,yes,NRD,yes,GRF,yes,GCCA
GeneralDirect,Coding and Applied Data Science,Coding and Applied Data Science,yes,NRD,yes,GRF,yes,GCCA
GeneralDirect,Diplomatic Team,Diplomatic Team,yes,NRD,yes,GRF,yes,GCCA
GeneralDirect,Finance Management,Finance Management,yes,NRD,yes,GRF,yes,GCCA
GeneralDirect,Local Representative,Local Representative,yes,LRP,yes,GRF,yes,GCCA
GeneralDirect,Decision and Execution,Decision and Execution,yes,NRD,yes,GRF,yes,GCCA
GeneralDirect,Campaign and Career Team,Campaign and Career Team,yes,NRD,yes,GRF,yes,GCCA
GeneralDirect,Swift,Swift,yes,NRD,yes,GRF,yes,GCCA
