Constituency,Sub_Constituency,Electorate,Turnout,Yes_Votes,No_Votes,Spoil,received_at,verified_at,declared_at
Planning and Research,Planning and Research,14342,13407,12533,833,41,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T15:40:13Z
Applied Financial Maths,Financial Risk Management,12000,9676,8058,1537,81,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T15:02:08Z
Applied Financial Maths,Time Series Analysis,12000,9261,7976,1160,125,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T15:02:08Z
Bayesian Modelling and Statistical Machine Learning,Bayesian Modelling,12000,9834,9652,111,71,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T14:58:50Z
Bayesian Modelling and Statistical Machine Learning,Statistical Machine Learning,12000,10512,10203,282,27,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T14:58:50Z
Coding and Applied Data Science,Mathematics Project,12000,11224,10917,241,66,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T15:04:19Z
Coding and Applied Data Science,Programming and Data Analysis,12000,10023,9524,468,31,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T15:04:19Z
Diplomatic Team,Diplomats Rep,7323,6119,4642,1228,249,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T16:16:15Z
Diplomatic Team,Academic and Project Reps,17366,15601,13713,1774,114,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T16:16:15Z
Finance Management,Finance Management,27531,23647,15932,6147,1568,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T17:34:23Z
Decision and Execution,Decision and Execution Team,6608,6064,5458,516,90,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T14:42:01Z
Decision and Execution,Sustainability Team,2539,2401,2228,161,12,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T14:42:01Z
Campaign and Career Team,Campaign Team,11716,10840,8786,1967,87,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T15:11:23Z
Campaign and Career Team,Career Team,6000,5545,3956,1485,104,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T15:11:23Z
Swift,Swift,78110,71138,65132,5579,427,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T20:20:37Z
