Constituency,Sub_Constituency,Electorate,Turnout,Left_Left,Left_Right,Left_MR,Right_Left,Right_Right,Right_MR,MR_Left,MR_Right,MR_MR,Spoil,received_at,verified_at,declared_at
Shek East and Central,Shek East and Central,675100000,524658885,351145066,0,0,0,163573207,0,0,0,0,9940612,2026-08-11T02:00:00Z,2026-08-11T10:00:00Z,2026-08-11T15:17:15Z
"Shek West, Rainbow N, LF & Huang",Shek West,393600000,278282961,155737830,0,0,0,115528041,0,0,0,0,7017090,2026-08-11T02:00:00Z,2026-08-11T10:00:00Z,2026-08-11T16:14:25Z
"Shek West, Rainbow N, LF & Huang",Mid and North Rainbow,228200000,149296322,61793473,0,0,0,83356073,0,0,0,0,4146776,2026-08-11T02:00:00Z,2026-08-11T10:00:00Z,2026-08-11T17:15:53Z
"Shek West, Rainbow N, LF & Huang",LF,42800000,26905001,8876337,0,0,0,17232292,0,0,0,0,796372,2026-08-11T02:00:00Z,2026-08-11T10:00:00Z,2026-08-11T13:52:38Z
"Shek West, Rainbow N, LF & Huang",Huang,56500000,41954866,30363773,0,0,0,11149870,0,0,0,0,441223,2026-08-11T02:00:00Z,2026-08-11T10:00:00Z,2026-08-11T14:17:59Z
Tong,Tong Central,14800000,9155907,3483620,0,0,0,5133448,0,0,0,0,538839,2026-08-11T02:00:00Z,2026-08-11T10:00:00Z,2026-08-11T13:11:33Z
Tong,Mid Tong,57500000,35720323,12026199,0,0,0,22120290,0,0,0,0,1573834,2026-08-11T02:00:00Z,2026-08-11T10:00:00Z,2026-08-11T14:32:28Z
Tong,Upper Tong,8500000,4447208,1847560,0,0,0,2350411,0,0,0,0,249237,2026-08-11T02:00:00Z,2026-08-11T10:00:00Z,2026-08-11T13:14:59Z
Diamond & Rainbow SE,Diamond,530000000,388259181,246502952,0,0,0,136858664,0,0,0,0,4897565,2026-08-11T02:00:00Z,2026-08-11T10:00:00Z,2026-08-11T15:57:41Z
Diamond & Rainbow SE,Rainbow Southwest,135000000,101978916,67511827,0,0,0,32816904,0,0,0,0,1650185,2026-08-11T02:00:00Z,2026-08-11T10:00:00Z,2026-08-11T14:07:50Z
Dragon & Outland,Dragon,576500000,328268836,121739772,0,0,0,190824844,0,0,0,0,15704220,2026-08-11T02:00:00Z,2026-08-11T10:00:00Z,2026-08-11T17:03:13Z
Dragon & Outland,Outland,130000000,88477888,37685345,0,0,0,48066287,0,0,0,0,2726256,2026-08-11T02:00:00Z,2026-08-11T10:00:00Z,2026-08-11T13:21:24Z
