Shape_ID,Electorate,Turnout,Left_Left,Left_Right,Left_MR,Right_Left,Right_Right,Right_MR,MR_Left,MR_Right,MR_MR,Spoil,received_at,verified_at,declared_at
A01_001,7056,3954,681,144,350,118,739,221,189,236,1248,28,2026-08-02T14:37:39Z,2026-08-02T14:37:39Z,2026-08-02T18:56:45Z
A01_002,6466,3585,653,68,181,148,816,340,392,213,744,30,2026-08-02T15:29:52Z,2026-08-02T15:29:52Z,2026-08-02T19:43:08Z
A01_003,3825,2937,335,77,175,72,828,241,237,268,662,42,2026-08-02T16:55:13Z,2026-08-02T16:55:13Z,2026-08-02T21:08:30Z
A01_004,4503,2811,345,56,203,77,525,337,257,189,762,60,2026-08-02T16:58:04Z,2026-08-02T16:58:04Z,2026-08-02T19:34:35Z
A01_005,3795,2260,475,86,229,45,389,212,194,132,463,35,2026-08-02T13:37:47Z,2026-08-02T13:37:47Z,2026-08-02T17:36:33Z
A01_006,6977,4452,790,97,318,71,1136,322,323,341,970,84,2026-08-02T13:39:31Z,2026-08-02T13:39:31Z,2026-08-02T17:31:08Z
A01_007,5683,4126,621,132,324,127,1203,497,144,161,863,54,2026-08-02T12:34:05Z,2026-08-02T12:34:05Z,2026-08-02T17:50:29Z
A01_008,3192,2707,346,82,157,56,658,164,145,217,845,37,2026-08-02T10:02:26Z,2026-08-02T10:02:26Z,2026-08-02T14:21:07Z
A01_009,2420,1732,277,43,117,44,372,230,144,78,413,14,2026-08-02T15:43:35Z,2026-08-02T15:43:35Z,2026-08-02T16:53:43Z
A01_010,3020,1884,378,76,170,48,312,191,111,142,434,22,2026-08-02T15:18:08Z,2026-08-02T15:18:08Z,2026-08-02T19:44:54Z
A01_011,2272,1653,240,50,97,43,386,129,98,137,438,35,2026-08-02T14:35:34Z,2026-08-02T14:35:34Z,2026-08-02T18:38:56Z
A01_012,5787,4229,705,62,260,180,687,372,387,340,1195,41,2026-08-02T11:26:34Z,2026-08-02T11:26:34Z,2026-08-02T13:19:24Z
A01_013,4984,3485,612,77,207,103,662,406,275,308,789,46,2026-08-02T17:40:23Z,2026-08-02T17:40:23Z,2026-08-02T20:12:04Z
A01_014,5365,4028,735,69,199,117,837,476,409,236,898,52,2026-08-02T15:00:19Z,2026-08-02T15:00:19Z,2026-08-02T20:17:23Z
A01_015,3679,2310,451,52,135,30,401,148,140,201,707,45,2026-08-02T16:01:06Z,2026-08-02T16:01:06Z,2026-08-02T20:43:43Z
A01_016,2023,1136,214,29,97,28,244,121,73,41,270,19,2026-08-02T16:19:57Z,2026-08-02T16:19:57Z,2026-08-02T19:37:32Z
A01_017,2206,1430,228,29,148,44,381,96,91,55,351,7,2026-08-02T11:25:10Z,2026-08-02T11:25:10Z,2026-08-02T17:29:18Z
A01_018,4915,3929,788,91,364,122,662,247,258,426,939,32,2026-08-02T13:05:28Z,2026-08-02T13:05:28Z,2026-08-02T19:54:13Z
A01_019,1574,1104,174,18,90,40,188,91,62,69,354,18,2026-08-02T14:49:58Z,2026-08-02T14:49:58Z,2026-08-02T19:38:52Z
A01_020,2421,1908,485,52,143,27,366,133,87,120,485,10,2026-08-02T16:47:10Z,2026-08-02T16:47:10Z,2026-08-02T19:32:39Z
A01_021,5668,3401,493,56,124,125,818,283,287,179,989,47,2026-08-02T16:36:43Z,2026-08-02T16:36:43Z,2026-08-02T20:37:18Z
A01_022,5073,3454,514,126,236,90,534,174,297,186,1226,71,2026-08-02T16:14:16Z,2026-08-02T16:14:16Z,2026-08-02T19:03:58Z
A01_023,6917,4036,455,65,134,149,852,325,353,336,1297,70,2026-08-02T13:52:25Z,2026-08-02T13:52:25Z,2026-08-02T17:25:47Z
A01_024,6058,4300,959,89,273,87,920,264,196,274,1164,74,2026-08-02T14:13:00Z,2026-08-02T14:13:00Z,2026-08-02T17:07:53Z
A01_025,4295,3631,578,106,324,92,803,254,250,353,846,25,2026-08-02T12:04:58Z,2026-08-02T12:04:58Z,2026-08-02T17:29:29Z
A01_026,8641,6764,1286,159,420,101,1382,379,505,314,2116,102,2026-08-02T11:10:30Z,2026-08-02T11:10:30Z,2026-08-02T13:26:19Z
A01_027,11485,8932,1920,342,1055,190,1554,654,547,703,1793,174,2026-08-02T14:02:01Z,2026-08-02T14:02:01Z,2026-08-02T16:48:13Z
A01_028,8267,4907,863,174,425,92,1094,303,301,344,1189,122,2026-08-02T11:20:37Z,2026-08-02T11:20:37Z,2026-08-02T16:52:10Z
A01_029,5610,3188,584,55,238,109,689,347,166,179,792,29,2026-08-02T12:11:58Z,2026-08-02T12:11:58Z,2026-08-02T17:43:38Z
A01_030,6517,3800,744,86,280,157,609,331,220,177,1120,76,2026-08-02T16:10:54Z,2026-08-02T16:10:54Z,2026-08-02T21:46:27Z
A01_031,7548,4441,764,106,295,93,745,298,442,442,1192,64,2026-08-02T15:49:01Z,2026-08-02T15:49:01Z,2026-08-02T17:56:19Z
A01_032,3872,3232,576,79,265,38,549,168,229,239,1026,63,2026-08-02T13:54:36Z,2026-08-02T13:54:36Z,2026-08-02T20:15:28Z
A01_033,7212,5365,870,140,301,117,1137,311,421,252,1733,83,2026-08-02T10:33:25Z,2026-08-02T10:33:25Z,2026-08-02T14:50:19Z
A01_034,5918,4473,922,146,375,83,891,469,197,306,1004,80,2026-08-02T12:32:25Z,2026-08-02T12:32:25Z,2026-08-02T15:40:36Z
A01_035,6242,4511,773,43,228,150,1028,322,385,213,1292,77,2026-08-02T15:18:33Z,2026-08-02T15:18:33Z,2026-08-02T20:15:36Z
