Constituency,Sub_Constituency,Electorate,Turnout,Left_Left,Left_Right,Left_MR,Right_Left,Right_Right,Right_MR,MR_Left,MR_Right,MR_MR,Spoil,received_at,verified_at,declared_at
Planning and Research,Planning and Research,14342,13407,3358,575,2177,60,49,127,1758,373,4794,136,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T15:40:13Z
Applied Financial Maths,Financial Risk Management,12000,9676,3430,884,1299,161,148,240,1243,957,704,610,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T15:02:08Z
Applied Financial Maths,Time Series Analysis,12000,9261,4273,528,793,239,299,202,793,781,450,903,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T14:57:29Z
Bayesian Modelling and Statistical Machine Learning,Bayesian Modelling,12000,9834,2975,621,1406,115,82,148,1635,336,2089,427,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T14:50:32Z
Bayesian Modelling and Statistical Machine Learning,Statistical Machine Learning,12000,10512,3286,313,941,108,81,225,1605,502,3151,300,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T14:58:50Z
Coding and Applied Data Science,Mathematics Project,12000,11224,2432,370,1659,76,58,231,1360,572,4278,188,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T15:04:19Z
Coding and Applied Data Science,Programming and Data Analysis,12000,10023,1818,615,1257,87,65,275,1013,547,4126,220,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T14:55:06Z
Diplomatic Team,Diplomats Rep,7323,6119,982,329,538,369,654,824,727,655,971,70,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T15:02:49Z
Diplomatic Team,Academic and Project Reps,17366,15601,4758,370,1536,71,57,113,2913,654,5005,124,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T16:16:15Z
Finance Management,Finance Management,27531,23647,2834,1121,4919,2660,3430,3169,2393,749,1349,1023,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T17:34:23Z
Decision and Execution,Decision and Execution Team,6608,6064,892,540,437,398,343,681,947,587,1150,89,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T14:42:01Z
Decision and Execution,Sustainability Team,2539,2401,258,164,93,114,103,138,414,499,588,30,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T13:45:04Z
Campaign and Career Team,Campaign Team,11716,10840,1864,460,2044,126,145,130,3219,431,2228,193,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T15:11:23Z
Campaign and Career Team,Career Team,6000,5545,671,230,1027,252,238,210,1200,606,974,137,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T13:52:45Z
Swift,Swift,78110,71138,20327,3722,9782,3694,1829,3849,9778,3022,13787,1348,2026-08-11T02:00:00Z,2026-08-11T12:30:00Z,2026-08-11T20:20:37Z
