Constituency,Sub_Constituency,Electorate,Turnout,NRD,LRP,GRF,GCCA,Spoil,received_at,verified_at,declared_at
Planning and Research,Planning and Research,12503,10297,3800,1120,5229,63,85,2026-08-02T18:23:10Z,2026-08-03T10:23:59Z,2026-08-03T10:23:59Z
Maths and Stats,Maths and Stats,10000,7802,3318,1232,2669,118,465,2026-08-02T12:39:48Z,2026-08-02T13:48:35Z,2026-08-02T15:00:14Z
Maths and Machine Learning,Maths and Machine Learning,10500,7962,3796,1139,2481,139,407,2026-08-02T14:10:43Z,2026-08-02T16:36:11Z,2026-08-02T19:13:47Z
Coding and Applied Data Science,Coding and Applied Data Science,16500,12825,2528,1462,8321,387,127,2026-08-02T14:40:37Z,2026-08-02T15:38:57Z,2026-08-02T18:14:34Z
Diplomatic Team,Diplomatic Team,23522,19610,2541,4258,9630,3032,149,2026-08-02T15:15:10Z,2026-08-02T17:05:21Z,2026-08-02T20:17:13Z
Finance Management,Finance Management,20666,16989,1122,3379,3617,8619,252,2026-08-02T12:46:42Z,2026-08-02T13:43:21Z,2026-08-02T17:04:57Z
Local Representative,Local Representative,,,,,,,,,,
Decision and Execution,Decision and Execution,8954,7007,406,1023,3839,1578,161,2026-08-02T10:01:50Z,2026-08-02T11:27:46Z,2026-08-02T13:05:09Z
Campaign and Career Team,Campaign and Career Team,23462,19617,5055,2391,10471,1413,287,2026-08-02T16:21:39Z,2026-08-02T17:22:44Z,2026-08-02T18:04:32Z
Swift,Swift (Outland),784,617,118,11,41,403,44,2026-08-02T12:24:47Z,2026-08-02T13:20:22Z,2026-08-02T13:20:22Z
Swift,Swift 1,13446,11208,4210,1673,4417,725,183,2026-08-02T12:24:47Z,2026-08-02T13:20:22Z,2026-08-02T13:20:22Z
Swift,Swift 2,15286,12746,4191,1933,5876,585,161,2026-08-02T12:24:47Z,2026-08-02T13:20:22Z,2026-08-02T13:20:22Z
Swift,Swift 3,10575,8815,1327,3209,3701,341,237,2026-08-02T12:24:47Z,2026-08-02T13:20:22Z,2026-08-02T13:20:22Z
Swift,Swift 4,13996,11671,2452,2854,4499,1644,222,2026-08-02T12:24:47Z,2026-08-02T13:20:22Z,2026-08-02T13:20:22Z
Swift,Swift 5,16849,14045,1700,5252,1548,5141,404,2026-08-02T12:24:47Z,2026-08-02T13:20:22Z,2026-08-02T13:20:22Z
