Authority,geometry,Area,Population,centroid
Alington,"POLYGON ((2754 1250.61, 2754 1268, 2754 1277.12, 2754 1286.25, 2754 1304.49, 2754 1312, 2769.13 1312, 2773.85 1312, 2774.05 1312, 2782.1 1312, 2787.22 1312, 2792.61 1312, 2798 1312, 2798 1323, 2798 1328.5, 2798 1334, 2798 1338.59, 2798 1340.81, 2798 1345, 2798 1350.5, 2798 1356, 2798 1358.4, 2798 1365.61, 2798 1369.97, 2798 1375.22, 2798 1378, 2798 1381.6, 2798 1385.2, 2798 1392.39, 2798 1400, 2805.36 1400, 2809.85 1400, 2816.14 1400, 2820 1400, 2825.42 1400, 2825.64 1400, 2827.4 1400, 2834.1 1400, 2839.37 1400, 2842 1400, 2847.11 1400, 2849.44 1400, 2850.65 1400, 2856.1 1400, 2858.66 1400, 2864 1400, 2870.46 1400, 2880.26 1400, 2883.21 1400, 2886 1400, 2890.16 1400, 2896.49 1400, 2906.11 1400, 2908 1400, 2908 1394.68, 2908 1389, 2908 1382.42, 2908 1379.75, 2908 1378, 2908 1364.68, 2908 1360.05, 2908 1356, 2908 1353.08, 2908 1347.52, 2908 1344.41, 2908 1342.66, 2908 1340.5, 2908 1334, 2908 1329.8, 2908 1323, 2908 1314.28, 2908 1312, 2908 1303.73, 2908 1296.47, 2908 1295.24, 2908 1289.28, 2908 1284.36, 2908 1282.33, 2908 1279.34, 2908 1278.66, 2908 1274.17, 2908 1271.09, 2908 1268, 2908 1265.99, 2908 1264.17, 2908 1263.38, 2908 1261.23, 2908 1257.76, 2908 1253.82, 2908 1251.48, 2908 1244.57, 2908 1240.54, 2908 1237.21, 2908 1226.34, 2908 1223, 2902.35 1223, 2900.75 1223, 2893.1 1223, 2884.09 1223, 2864.36 1223, 2857.61 1223, 2855.42 1223, 2845.84 1223, 2843.92 1223, 2842 1223, 2840.22 1223, 2832.75 1223, 2825.59 1223, 2814.55 1223, 2807.59 1223, 2799.61 1223, 2796.45 1223, 2790.71 1223, 2781.32 1223, 2775.61 1223, 2769.55 1223, 2757.47 1223, 2754 1223, 2754 1234.03, 2754 1250.61), (2865 1247.01, 2864.89 1247.1, 2865 1247, 2865 1247.01), (2861.32 1268, 2861.38 1267.9, 2861.43 1268, 2861.32 1268), (2871.32 1267.78, 2871.4 1268, 2870.31 1268, 2871.32 1267.78))",364.492568,3390148,"(2840.1061388851313, 1304.1323685699845)"
Alma Bridge,"POLYGON ((2754 1099.42, 2754 1121.82, 2754 1129.64, 2754 1136.26, 2754 1138.35, 2754 1145.57, 2754 1157.82, 2754 1190.24, 2754 1196.54, 2754 1204.45, 2754 1214, 2757.15 1214, 2769.33 1214, 2776.01 1214, 2791.89 1214, 2798.34 1214, 2806.64 1214, 2815.69 1214, 2824.92 1214, 2833.53 1214, 2842 1214, 2851.1 1214, 2860.19 1214, 2867.46 1214, 2884.31 1214, 2902.15 1214, 2908 1214, 2920.46 1214, 2936.09 1214, 2948.39 1214, 2957.19 1214, 2962.7 1214, 2966.56 1214, 2972.62 1214, 2981.74 1214, 2987.84 1214, 2993.05 1214, 2996 1214, 3003.81 1214, 3007.34 1214, 3012.23 1214, 3017.79 1214, 3023.48 1214, 3030.09 1214, 3034.6 1214, 3039.79 1214, 3045.77 1214, 3051.78 1214, 3054.6 1214, 3060.95 1214, 3062.15 1214, 3064.61 1214, 3068.62 1214, 3076.76 1214, 3079.06 1214, 3081.28 1214, 3091.04 1214, 3102.85 1214, 3110.25 1214, 3114.87 1214, 3118.81 1214, 3123.94 1214, 3128 1214, 3133.42 1214, 3150.25 1214, 3154.6 1214, 3167.49 1214, 3176.56 1214, 3183.75 1214, 3188.12 1214, 3203.81 1214, 3212.13 1214, 3218.59 1214, 3220.72 1214, 3226 1214, 3226 1208.02, 3226 1203.57, 3226 1191.6, 3226 1185.72, 3226 1180.11, 3226 1175.96, 3226 1168.22, 3226 1157.75, 3226 1149.9, 3226 1143.82, 3226 1136, 3226 1127.36, 3226 1111.31, 3226 1105.41, 3226 1099.67, 3226 1092, 3226 1080.24, 3226 1070, 3226 1061.95, 3226 1052.16, 3226 1042.5, 3226 1034.51, 3226 1031.04, 3226 1016.93, 3226 1006.97, 3226 1004, 3226 999.63, 3226 992.07, 3226 983.41, 3226 964.41, 3226 960, 3223.7 960, 3221.4 960, 3218.57 960, 3213.98 960, 3211.8 960, 3205 960, 3202.64 960, 3200.46 960, 3197.03 960, 3188.87 960, 3187.68 960, 3185.1 960, 3182.1 960, 3172 960, 3154.85 960, 3153.23 960, 3141.49 960, 3111.3 960, 3089.01 960, 3084 960, 3084 976.4, 3084 999.35, 3084 1021.23, 3084 1029.48, 3084 1037.14, 3084 1044.62, 3084 1044.86, 3084 1048.3, 3084 1050.79, 3084 1054.41, 3084 1057.81, 3084 1060.71, 3084 1062.39, 3084 1062.94, 3084 1078.63, 3084 1092, 3055.38 1092, 3042.72 1092, 3007.63 1092, 2930 1092, 2929.99 1092, 2908 1092, 2903.43 1092, 2891.33 1092, 2871.62 1092, 2852.91 1092, 2814.15 1092, 2763.43 1092, 2754 1092, 2754 1094.48, 2754 1099.42), (2903.33 1176.42, 2904.19 1177.36, 2903.34 1176.44, 2903.33 1176.42), (2917.68 1205.15, 2917.8 1205.07, 2917.69 1205.15, 2917.68 1205.15), (2939.34 1193.57, 2939.33 1193.57, 2939.84 1193.47, 2939.34 1193.57), (3190.8571532846718 1136.001897810219, 3190.83 1136.02, 3189.59 1136.02, 3190.8571532846718 1136.001897810219), (3193.05 1136, 3191.07 1136.01, 3190.89 1136.0014285714285, 3190.99 1136, 3193.05 1136))",1189.670155,6001884,"(3030.519298832011, 1121.8123808187402)"
Alma Forest,"POLYGON ((2404 410, 2404 542, 2404 608, 2404 674, 2404 814, 2431.1 814, 2445.59 814, 2576 814, 2677 814, 2677 800.13, 2677 775.57, 2677 740.58, 2677 738, 2680.03 738, 2697.5 738, 2720.38 738, 2727.46 738, 2754 738, 2764.52 738, 2801.34 738, 2831 738, 2831 750.56, 2831 758.76, 2831 766.5, 2831 772.44, 2831 774.29, 2831 779.29, 2831 785.57, 2831 797.38, 2831 799.16, 2831 804.5, 2831 814, 2831 823.21, 2831 834.03, 2831 844.82, 2831 851.5, 2831 857.31, 2831 862.21, 2831 868.63, 2831 869.95, 2831 872.6, 2831 876.29, 2831 880.6, 2831 894, 2826.96 894, 2822.83 894, 2820.25 894, 2817.9 894, 2814.79 894, 2811.22 894, 2803.51 894, 2803.18 894, 2790.82 894, 2766.62 894, 2754 894, 2754 927, 2754 960, 2754 960.42, 2754 995.93, 2754 1014, 2754 1037.18, 2754 1042.95, 2754 1079.58, 2754 1092, 2763.43 1092, 2814.15 1092, 2852.91 1092, 2871.62 1092, 2891.33 1092, 2903.43 1092, 2908 1092, 2929.99 1092, 2930 1092, 3007.63 1092, 3042.72 1092, 3055.38 1092, 3084 1092, 3084 1078.63, 3084 1062.94, 3084 1062.39, 3084 1060.71, 3084 1057.81, 3084 1054.41, 3084 1050.79, 3084 1048.3, 3084 1044.86, 3084 1044.62, 3084 1037.14, 3084 1029.48, 3084 1021.23, 3084 999.35, 3084 976.4, 3084 960, 3084 903.61, 3084 842.87, 3084 814, 3084 763.04, 3084 718.78, 3084 696, 3084 691.19, 3084 615.18, 3084 563, 2994.53 563, 2939.87 563, 2908 563, 2908 486.61, 2908 432, 2908 349, 2766.7 349, 2576 349, 2526.8 349, 2404 349, 2404 410), (3041.08 1043.61, 3041.15 1043.65, 3041.71 1044.04, 3041.08 1043.61))",5492.699954,278131,"(2761.4437059870816, 680.3990531246079)"
Alma Heath,"POLYGON ((2404 1136, 2404 1214, 2446 1214, 2494.4 1214, 2576 1214, 2754 1214, 2754 1204.45, 2754 1196.54, 2754 1190.24, 2754 1157.82, 2754 1145.57, 2754 1138.35, 2754 1136.26, 2754 1129.64, 2754 1121.82, 2754 1099.42, 2754 1094.48, 2754 1092, 2754 1079.58, 2754 1042.95, 2754 1037.18, 2754 1014, 2754 995.93, 2754 960.42, 2754 960, 2754 927, 2754 894, 2719.22 894, 2677 894, 2677 884.96, 2677 850.86, 2677 824, 2677 814, 2576 814, 2445.59 814, 2431.1 814, 2404 814, 2404 944, 2404 1014, 2404 1136))",2086.036032,84655,"(2572.7175732217574, 1021.3640167364017)"
Alma Junction,"POLYGON ((2677 824, 2677 850.86, 2677 884.96, 2677 894, 2719.22 894, 2754 894, 2766.62 894, 2790.82 894, 2803.18 894, 2803.51 894, 2811.22 894, 2814.79 894, 2817.9 894, 2820.25 894, 2822.83 894, 2826.96 894, 2831 894, 2831 880.6, 2831 876.29, 2831 872.6, 2831 869.95, 2831 868.63, 2831 862.21, 2831 857.31, 2831 851.5, 2831 844.82, 2831 834.03, 2831 823.21, 2831 814, 2831 804.5, 2831 799.16, 2831 797.38, 2831 785.57, 2831 779.29, 2831 774.29, 2831 772.44, 2831 766.5, 2831 758.76, 2831 750.56, 2831 738, 2801.34 738, 2764.52 738, 2754 738, 2727.46 738, 2720.38 738, 2697.5 738, 2680.03 738, 2677 738, 2677 740.58, 2677 775.57, 2677 800.13, 2677 814, 2677 824))",374.44111499999997,722369,"(2754.000000000001, 816.0000000000002)"
Aqua Bay,"POLYGON ((1273 1110.8, 1273 1117.62, 1273 1125, 1273 1131.71, 1273 1138.27, 1273 1152, 1273 1165.8, 1273 1180, 1273 1221, 1273 1262, 1273 1539, 1273 1646, 1775 1646, 1775 1305, 1795 1305, 1795 1277, 1795 1125, 1795 967, 1795 945, 1774 945, 1774 885, 1754 885, 1569 885, 1273 885, 1273 967, 1273 1070, 1273 1083.27, 1273 1097, 1273 1110.8))",6065.483069,210248,"(1528.7902158998052, 1262.954607592725)"
Bayes Valley,"POLYGON ((3084 763.04, 3084 814, 3084 842.87, 3084 903.61, 3084 960, 3089.01 960, 3111.3 960, 3141.49 960, 3153.23 960, 3154.85 960, 3172 960, 3182.1 960, 3185.1 960, 3187.68 960, 3188.87 960, 3197.03 960, 3200.46 960, 3202.64 960, 3205 960, 3211.8 960, 3213.98 960, 3218.57 960, 3221.4 960, 3223.7 960, 3226 960, 3226 955.33, 3226 950.67, 3226 946.21, 3226 931.25, 3226 924.43, 3226 918.19, 3226 916, 3226 896.15, 3226 886.79, 3226 872.71, 3226 832.47, 3226 814, 3226 779, 3227 779, 3292.21 779, 3370 779, 3436.44 779, 3549 779, 3549 652, 3549 563, 3462.26 563, 3416.43 563, 3370 563, 3299.68 563, 3281 563, 3252.42 563, 3227 563, 3201.44 563, 3181.34 563, 3168.95 563, 3163.07 563, 3161 563, 3155.42 563, 3136.27 563, 3133.9 563, 3107.02 563, 3084 563, 3084 615.18, 3084 691.19, 3084 696, 3084 718.78, 3084 763.04))",1966.05132,435823,"(3283.5936484279623, 711.4452680312663)"
Central,"POLYGON ((2908 1347.52, 2908 1353.08, 2908 1356, 2908 1360.05, 2908 1364.68, 2908 1378, 2908 1379.75, 2908 1382.42, 2908 1389, 2908 1394.68, 2908 1400, 2912.18 1400, 2915.18 1400, 2918.48 1400, 2924.32 1400, 2928.44 1400, 2934.3 1400, 2943.7 1400, 2950.82 1400, 2952 1400, 2952 1406.73, 2952 1412.42, 2952 1416.72, 2952 1420.71, 2952 1432.07, 2952 1440.37, 2952 1444, 2955.36 1444, 2964.05 1444, 2970.6 1444, 2977.96 1444, 2982.87 1444, 2996 1444, 3002.61 1444, 3009.72 1444, 3016.83 1444, 3032.61 1444, 3040 1444, 3051.63 1444, 3056.8 1444, 3059.37 1444, 3061.39 1444, 3083.62 1444, 3084 1444, 3094.48 1444, 3104.96 1444, 3112.98 1444, 3117.62 1444, 3122.81 1444, 3128 1444, 3128 1431.4, 3128 1425.4, 3128 1418.53, 3128 1409.1, 3128 1400, 3128 1383.78, 3128 1377.94, 3128 1377.91, 3128 1366.27, 3128 1356, 3128 1353.05, 3128 1342.72, 3128 1336.39, 3128 1334, 3128 1331.27, 3128 1331.26, 3128 1326.58, 3128 1323.12, 3128 1321.53, 3128 1314.47, 3128 1312, 3122.23 1312, 3119.26 1312, 3116.73 1312, 3114.53 1312, 3111.93 1312, 3109.7 1312, 3107.21 1312, 3102.71 1312, 3100.68 1312, 3099.2 1312, 3097.7 1312, 3096.75 1312, 3093.68 1312, 3092.15 1312, 3089.37 1312, 3088.66 1312, 3087.26 1312, 3085.23 1312, 3084 1312, 3080.35 1312, 3077.97 1312, 3077.46 1312, 3075.57 1312, 3073.55 1312, 3069.8 1312, 3066.48 1312, 3066.22 1312, 3064.33 1312, 3062.4 1312, 3062 1312, 3061.37 1312, 3059.8 1312, 3056.87 1312, 3055.14 1312, 3054.27 1312, 3051.34 1312, 3047.89 1312, 3043.82 1312, 3042.25 1312, 3040 1312, 3039.19 1312, 3039.18 1312, 3036.89 1312, 3029.6 1312, 3026.37 1312, 3024.96 1312, 3018.69 1312, 3018 1312, 3010.63 1312, 3006.25 1312, 3002.27 1312, 2998.01 1312, 2996 1312, 2993.7 1312, 2992.5 1312, 2984.1 1312, 2973.67 1312, 2973.6 1312, 2966.6 1312, 2960.94 1312, 2958.31 1312, 2952.64 1312, 2952 1312, 2944.67 1312, 2934.63 1312, 2925.82 1312, 2921.76 1312, 2917.28 1312, 2912.01 1312, 2908 1312, 2908 1314.28, 2908 1323, 2908 1329.8, 2908 1334, 2908 1340.5, 2908 1342.66, 2908 1344.41, 2908 1347.52))",422.443556,2146182,"(3024.285714285714, 1374.8571428571424)"
Clifton Wick,"POLYGON ((3235 916.6649, 3235 926.0522, 3235 928.9441, 3235 931.8359, 3235 945.9636, 3235 950.3873, 3235 954.8109, 3235 960, 3240.15 960, 3246.0827 960, 3253.0863 960, 3257.0431 960, 3274.1826 960, 3282 960, 3305.3838 960, 3319.1999 960, 3355.3451 960, 3370 960, 3370 965.1254, 3370 1034.1779, 3370 1048, 3370 1070, 3370 1092, 3380.2143 1092, 3414 1092, 3426.3076 1092, 3455.7513 1092, 3549 1092, 3549 1009.2662, 3549 961.1222, 3549 912.9781, 3549 790, 3436.4479 790, 3370 790, 3287.4396 790, 3235 790, 3235 831.752, 3235 873.3297, 3235 886.9823, 3235 896.719, 3235 914.1448, 3235 916.6649))",1200.2475,529692,"(3412.710705381259, 921.3306150010386)"
Cotham Heights,"POLYGON ((3235 1319.6001, 3235 1322.5104, 3235 1328.8607, 3235 1337.2456, 3235 1337.25, 3235 1341.93, 3235 1341.9342, 3235 1351.81, 3235 1356, 3235 1361.4741, 3235 1363.2988, 3235 1363.3, 3235 1379.8507, 3235 1387.67, 3235 1387.6731, 3235 1396.2103, 3235 1400, 3235 1407.31, 3235 1407.312, 3235 1418.3801, 3235 1429.2481, 3235 1429.25, 3235 1444, 3283.7878 1444, 3322.0443 1444, 3326 1444, 3356.3841 1444, 3414 1444, 3414 1394.4862, 3414 1312, 3414 1300.8063, 3414 1267.225, 3414 1242.7026, 3414 1223, 3414 1185.28, 3414 1132.5017, 3414 1092, 3380.2143 1092, 3370 1092, 3358.2668 1092, 3331.7355 1092, 3326 1092, 3326 1105.8993, 3326 1118.6729, 3326 1131.4465, 3326 1141.3302, 3326 1158, 3326 1166.6104, 3326 1188.6808, 3326 1197.1235, 3326 1223, 3326 1257.0194, 3326 1282.9262, 3326 1283.0098, 3326 1297.5049, 3326 1312, 3321.484 1312, 3318.2874 1312, 3313.2862 1312, 3300.5503 1312, 3291.2752 1312, 3282 1312, 3277.8571 1312, 3273.7142 1312, 3267.4747 1312, 3261.094 1312, 3260 1312, 3253.715 1312, 3251.5711 1312, 3247.9978 1312, 3243.686 1312, 3241.2424 1312, 3235 1312, 3235 1318.01, 3235 1318.0141, 3235 1319.6001))",670.011439,1418409,"(3344.9912998976442, 1298.7369498464684)"
