index,Constituency_Code,Constituency,geometry,Area,Region,Population,centroid
0,C01,The City of Alington,"POLYGON ((2847.15 1268, 2844.44 1268, 2842 1268, 2842 1271.68, 2842 1277.61, 2842 1280.18, 2842 1281.6, 2842 1282.98, 2842 1287.84, 2842 1291.81, 2842 1295.58, 2842 1297.31, 2842 1301.37, 2842 1304.3, 2842 1310.31, 2842 1312, 2842 1318.43, 2842 1324.86, 2842 1334, 2842 1342.35, 2842 1349.48, 2842 1356, 2854 1356, 2864 1356, 2870.2 1356, 2874.58 1356, 2884.34 1356, 2886.99 1356, 2888.82 1356, 2898.41 1356, 2904.4 1356, 2908 1356, 2908 1353.08, 2908 1347.52, 2908 1344.41, 2908 1342.66, 2908 1340.5, 2908 1334, 2908 1329.8, 2908 1323, 2908 1314.28, 2908 1312, 2908 1303.73, 2908 1296.47, 2908 1295.24, 2908 1289.28, 2908 1284.36, 2908 1282.33, 2908 1279.34, 2908 1278.66, 2908 1274.17, 2908 1271.09, 2908 1268, 2906.55 1268, 2899.85 1268, 2898.85 1268, 2894.12 1268, 2893.02 1268, 2890.08 1268, 2885.6 1268, 2881.75 1268, 2878.59 1268, 2876.42 1268, 2871.4 1268, 2870.31 1268, 2865.87 1268, 2865.06 1268, 2861.43 1268, 2861.32 1268, 2856.77 1268, 2854.12 1268, 2850.24 1268, 2848.61 1268, 2847.15 1268))",90.523573,Capital,1244837,"(2875.0, 1312.0000000000007)"
1,C02,Upper Alington,"POLYGON ((2798 1358.4, 2798 1365.61, 2798 1369.97, 2798 1375.22, 2798 1378, 2798 1381.6, 2798 1385.2, 2798 1392.39, 2798 1400, 2805.36 1400, 2809.85 1400, 2816.14 1400, 2820 1400, 2825.42 1400, 2825.64 1400, 2827.4 1400, 2834.1 1400, 2839.37 1400, 2842 1400, 2847.11 1400, 2849.44 1400, 2850.65 1400, 2856.1 1400, 2858.66 1400, 2864 1400, 2870.46 1400, 2880.26 1400, 2883.21 1400, 2886 1400, 2890.16 1400, 2896.49 1400, 2906.11 1400, 2908 1400, 2908 1394.68, 2908 1389, 2908 1382.42, 2908 1379.75, 2908 1378, 2908 1364.68, 2908 1360.05, 2908 1356, 2904.4 1356, 2898.41 1356, 2888.82 1356, 2886.99 1356, 2884.34 1356, 2874.58 1356, 2870.2 1356, 2864 1356, 2854 1356, 2842 1356, 2832.37 1356, 2820 1356, 2814.5 1356, 2811.75 1356, 2806.25 1356, 2798 1356, 2798 1358.4))",75.436287,Capital,929939,"(2853.0000000000014, 1378.0)"
2,C03,Alington Pass,"POLYGON ((2754 1223, 2754 1234.03, 2754 1250.61, 2754 1268, 2754 1277.12, 2754 1286.25, 2754 1304.49, 2754 1312, 2769.13 1312, 2773.85 1312, 2774.05 1312, 2782.1 1312, 2787.22 1312, 2792.61 1312, 2798 1312, 2798 1323, 2798 1328.5, 2798 1334, 2798 1338.59, 2798 1340.81, 2798 1345, 2798 1350.5, 2798 1356, 2806.25 1356, 2811.75 1356, 2814.5 1356, 2820 1356, 2832.37 1356, 2842 1356, 2842 1349.48, 2842 1342.35, 2842 1334, 2842 1324.86, 2842 1318.43, 2842 1312, 2842 1310.31, 2842 1304.3, 2842 1301.37, 2842 1297.31, 2842 1295.58, 2842 1291.81, 2842 1287.84, 2842 1282.98, 2842 1281.6, 2842 1280.18, 2842 1277.61, 2842 1271.68, 2842 1268, 2844.44 1268, 2847.15 1268, 2848.61 1268, 2850.24 1268, 2854.12 1268, 2856.77 1268, 2861.32 1268, 2861.38 1267.9, 2861.43 1268, 2865.06 1268, 2865.87 1268, 2870.31 1268, 2871.32 1267.78, 2871.4 1268, 2876.42 1268, 2878.59 1268, 2881.75 1268, 2885.6 1268, 2890.08 1268, 2893.02 1268, 2894.12 1268, 2898.85 1268, 2899.85 1268, 2906.55 1268, 2908 1268, 2908 1265.99, 2908 1264.17, 2908 1263.38, 2908 1261.23, 2908 1257.76, 2908 1253.82, 2908 1251.48, 2908 1244.57, 2908 1240.54, 2908 1237.21, 2908 1226.34, 2908 1223, 2902.35 1223, 2900.75 1223, 2893.1 1223, 2884.09 1223, 2864.36 1223, 2857.61 1223, 2855.42 1223, 2845.84 1223, 2843.92 1223, 2842 1223, 2840.22 1223, 2832.75 1223, 2825.59 1223, 2814.55 1223, 2807.59 1223, 2799.61 1223, 2796.45 1223, 2790.71 1223, 2781.32 1223, 2775.61 1223, 2769.55 1223, 2757.47 1223, 2754 1223), (2865 1247.01, 2864.89 1247.1, 2865 1247, 2865 1247.01))",198.532708,Capital,1215372,"(2819.2965569948856, 1272.4775933787657)"
3,C04,Durdham Mews,"POLYGON ((2585 1356, 2585 1398.44, 2585 1444, 2585 1490.5, 2585 1537, 2628.87 1537, 2661.78 1537, 2688 1537, 2716.19 1537, 2774.78 1537, 2798 1537, 2798 1525.07, 2798 1518.13, 2798 1492.22, 2798 1477.63, 2798 1469.19, 2798 1467.31, 2798 1460.56, 2798 1444, 2798 1437.43, 2798 1427.18, 2798 1423.63, 2798 1418.51, 2798 1406.68, 2798 1400, 2798 1392.39, 2798 1385.2, 2798 1381.6, 2798 1378, 2798 1375.22, 2798 1369.97, 2798 1365.61, 2798 1358.4, 2798 1356, 2798 1350.5, 2798 1345, 2798 1340.81, 2798 1338.59, 2798 1334, 2798 1328.5, 2798 1323, 2798 1312, 2792.61 1312, 2787.22 1312, 2782.1 1312, 2774.05 1312, 2773.85 1312, 2769.13 1312, 2754 1312, 2754 1304.49, 2754 1286.25, 2754 1277.12, 2754 1268, 2754 1250.61, 2754 1234.03, 2754 1223, 2712.28 1223, 2668.28 1223, 2585 1223, 2585 1251.8, 2585 1294.12, 2585 1356))",981.389105,Capital,989048,"(2686.2447511355326, 1386.9966331035796)"
4,C05,Techno Town,"POLYGON ((2809.85 1400, 2805.36 1400, 2798 1400, 2798 1406.68, 2798 1418.51, 2798 1423.63, 2798 1427.18, 2798 1437.43, 2798 1444, 2805.42 1444, 2813.97 1444, 2824.83 1444, 2828.77 1444, 2832.48 1444, 2840.23 1444, 2844.45 1444, 2848.67 1444, 2848.69 1444, 2853 1444, 2853 1438.35, 2853.46 1438.22, 2854.39 1437.71, 2855.45 1436.76, 2856.29 1435.82, 2857.05 1437.44, 2858.22 1439.72, 2860.16 1439.67, 2863.34 1439.35, 2865.27 1438.97, 2867.5 1438.67, 2866.49 1436.28, 2865.36 1433.28, 2866.54 1432.8, 2867.3 1431.33, 2867.9 1430.25, 2868.75 1429.09, 2869.31 1428, 2869.34 1427.93, 2869.37 1427.88, 2869.4 1427.85, 2874.44 1431.51, 2874.44 1433.85, 2876.82 1434.32, 2880.32 1434.88, 2881.97 1435.18, 2881.98 1435.18, 2882.06 1435.2, 2883.03 1435.47, 2883.05 1435.47, 2883.19 1435.51, 2883.2 1435.52, 2883.86 1435.7, 2884.05 1435.75, 2885.58 1436.66, 2885.59 1436.66, 2886.19 1437.02, 2887.27 1437.46, 2887.29 1437.47, 2889.29 1438.29, 2889.97 1438.34, 2889.98 1438.34, 2891.76 1438.45, 2892.54 1438.59, 2892.72 1438.62, 2895.01 1439.01, 2895.57 1439.12, 2895.59 1439.12, 2897.08 1439.41, 2897.8 1439.59, 2898.35 1439.72, 2898.49 1439.76, 2898.67 1439.8, 2900.49 1440.28, 2902.35 1441.87, 2905.47 1442.11, 2907.68 1442.11, 2908 1441.94, 2910.88 1440.46, 2911.64 1442.42, 2912.14 1443.28, 2912.94 1443.63, 2914.87 1443.15, 2916.25 1443.67, 2917.7 1443.07, 2918.74 1442.04, 2919.64 1441.21, 2920.73 1440.66, 2920.96 1440.52, 2921.05 1440.45, 2921.86 1440.55, 2922.53 1439.14, 2923.35 1438.25, 2924.34 1437.39, 2925.66 1437.27, 2926.68 1436.56, 2928.02 1435.87, 2929.07 1435.06, 2930.38 1434.15, 2931.64 1434.04, 2932.58 1434.72, 2932.69 1434.86, 2932.71 1434.92, 2932.76 1434.99, 2932.77 1435.01, 2932.8 1435.06, 2932.82 1435.08, 2932.85 1435.13, 2932.86 1435.15, 2932.92 1435.26, 2932.94 1435.32, 2933.28 1434.74, 2934.02 1433.69, 2935.17 1434.42, 2938.67 1436.14, 2940.29 1437.01, 2941.8 1435.86, 2942.07 1435.62, 2941.46 1437.13, 2946.65 1439.05, 2949.22 1439.91, 2952 1440.37, 2952 1432.07, 2952 1420.71, 2952 1416.72, 2952 1412.42, 2952 1406.73, 2952 1400, 2950.82 1400, 2943.7 1400, 2934.3 1400, 2928.44 1400, 2924.32 1400, 2918.48 1400, 2915.18 1400, 2912.18 1400, 2908 1400, 2906.11 1400, 2896.49 1400, 2890.16 1400, 2886 1400, 2883.21 1400, 2880.26 1400, 2870.46 1400, 2864 1400, 2858.66 1400, 2856.1 1400, 2850.65 1400, 2849.44 1400, 2847.11 1400, 2842 1400, 2839.37 1400, 2834.1 1400, 2827.4 1400, 2825.64 1400, 2825.42 1400, 2820 1400, 2816.14 1400, 2809.85 1400))",95.974349,Capital,1074130,"(2872.6383387275055, 1420.203384242133)"
5,C06,Techno Garden East,"POLYGON ((2805.42 1444, 2798 1444, 2798 1460.56, 2798 1467.31, 2798 1469.19, 2798 1477.63, 2798 1492.22, 2798 1518.13, 2798 1525.07, 2798 1537, 2874 1537, 2895 1537, 2920.11 1537, 2920.11 1527.61, 2919.57 1523.37, 2919.57 1513.56, 2919.42 1511.05, 2919.22 1506.83, 2921.49 1506.69, 2921.4 1501.65, 2921.31 1499.11, 2921.18 1497.86, 2921.04 1493.32, 2921.01 1492.3, 2920.89 1488, 2920.5 1487.36, 2919.73 1486.09, 2919.61 1485.88, 2918.29 1483.36, 2916.18 1480.6, 2914.07 1477.83, 2913.28 1476.17, 2910.31 1476.88, 2909.22 1474.82, 2907.78 1470.4, 2907.55 1467.53, 2907.32 1464.65, 2907.25 1464.35, 2915.23 1463.47, 2919.49 1463.11, 2922.95 1462.62, 2927.2 1463.12, 2927.36 1463.16, 2929.5 1463.59, 2931.83 1464.07, 2935.69 1465.01, 2936.37 1465.15, 2939.07 1465.7, 2942.45 1466.39, 2948.07 1467.59, 2952 1468.42, 2957.44 1469.62, 2964.16 1470.61, 2967.66 1471.23, 2972.75 1470.78, 2973.73 1472.91, 2977.89 1471.22, 2978.53 1466.44, 2979.47 1462.47, 2979.98 1461.59, 2980.23 1456.39, 2981.88 1449.47, 2982.87 1444, 2977.96 1444, 2970.6 1444, 2964.05 1444, 2955.36 1444, 2952 1444, 2952 1440.37, 2949.22 1439.91, 2946.65 1439.05, 2941.46 1437.13, 2942.07 1435.62, 2941.8 1435.86, 2940.29 1437.01, 2938.67 1436.14, 2935.17 1434.42, 2934.02 1433.69, 2933.28 1434.74, 2932.94 1435.32, 2932.92 1435.26, 2932.86 1435.15, 2932.85 1435.13, 2932.82 1435.08, 2932.8 1435.06, 2932.77 1435.01, 2932.76 1434.99, 2932.71 1434.92, 2932.69 1434.86, 2932.58 1434.72, 2931.64 1434.04, 2930.38 1434.15, 2929.07 1435.06, 2928.02 1435.87, 2926.68 1436.56, 2925.66 1437.27, 2924.34 1437.39, 2923.35 1438.25, 2922.53 1439.14, 2921.86 1440.55, 2921.05 1440.45, 2920.96 1440.52, 2920.73 1440.66, 2919.64 1441.21, 2918.74 1442.04, 2917.7 1443.07, 2916.25 1443.67, 2914.87 1443.15, 2912.94 1443.63, 2912.14 1443.28, 2911.64 1442.42, 2910.88 1440.46, 2908 1441.94, 2907.68 1442.11, 2905.47 1442.11, 2902.35 1441.87, 2900.49 1440.28, 2898.67 1439.8, 2898.49 1439.76, 2898.35 1439.72, 2897.8 1439.59, 2897.08 1439.41, 2895.59 1439.12, 2895.57 1439.12, 2895.01 1439.01, 2892.72 1438.62, 2892.54 1438.59, 2891.76 1438.45, 2889.98 1438.34, 2889.97 1438.34, 2889.29 1438.29, 2887.29 1437.47, 2887.27 1437.46, 2886.19 1437.02, 2885.59 1436.66, 2885.58 1436.66, 2884.05 1435.75, 2883.86 1435.7, 2883.2 1435.52, 2883.19 1435.51, 2883.05 1435.47, 2883.03 1435.47, 2882.06 1435.2, 2881.98 1435.18, 2881.97 1435.18, 2880.32 1434.88, 2876.82 1434.32, 2874.44 1433.85, 2874.44 1431.51, 2869.4 1427.85, 2869.37 1427.88, 2869.34 1427.93, 2869.31 1428, 2868.75 1429.09, 2867.9 1430.25, 2867.3 1431.33, 2866.54 1432.8, 2865.36 1433.28, 2866.49 1436.28, 2867.5 1438.67, 2865.27 1438.97, 2863.34 1439.35, 2860.16 1439.67, 2858.22 1439.72, 2857.05 1437.44, 2856.29 1435.82, 2855.45 1436.76, 2854.39 1437.71, 2853.46 1438.22, 2853 1438.35, 2853 1444, 2848.69 1444, 2848.67 1444, 2844.45 1444, 2840.23 1444, 2832.48 1444, 2828.77 1444, 2824.83 1444, 2813.97 1444, 2805.42 1444))",206.104311,Capital,1017117,"(2870.235373900518, 1484.6522301700386)"
6,C07,Techno Garden West and Leighton,"POLYGON ((2922.95 1462.62, 2919.49 1463.11, 2915.23 1463.47, 2907.25 1464.35, 2907.32 1464.65, 2907.55 1467.53, 2907.78 1470.4, 2909.22 1474.82, 2910.31 1476.88, 2913.28 1476.17, 2914.07 1477.83, 2916.18 1480.6, 2918.29 1483.36, 2919.61 1485.88, 2919.73 1486.09, 2920.5 1487.36, 2920.89 1488, 2921.01 1492.3, 2921.04 1493.32, 2921.18 1497.86, 2921.31 1499.11, 2921.4 1501.65, 2921.49 1506.69, 2919.22 1506.83, 2919.42 1511.05, 2919.57 1513.56, 2919.57 1523.37, 2920.11 1527.61, 2920.11 1537, 2895 1537, 2895 1657, 2952 1657, 3040 1657, 3184.55 1657, 3235 1657, 3414 1657, 3549 1657, 3549 1627, 3549 1617.04, 3549 1586.89, 3549 1567, 3549 1537, 3482 1537, 3468.51 1537, 3414 1537, 3383.91 1537, 3322.26 1537, 3322.2567 1537, 3292.0744 1537, 3292.07 1537, 3235 1537, 3198.05 1537, 3172 1537, 3084 1537, 3053.42 1537, 3040 1537, 3040 1522.23, 3040 1510, 3040 1504.54, 3040 1499.07, 3040 1488, 3040 1475.47, 3040 1461.78, 3040 1444, 3032.61 1444, 3016.83 1444, 3009.72 1444, 3002.61 1444, 2996 1444, 2982.87 1444, 2981.88 1449.47, 2980.23 1456.39, 2979.98 1461.59, 2979.47 1462.47, 2978.53 1466.44, 2977.89 1471.22, 2973.73 1472.91, 2972.75 1470.78, 2967.66 1471.23, 2964.16 1470.61, 2957.44 1469.62, 2952 1468.42, 2948.07 1467.59, 2942.45 1466.39, 2939.07 1465.7, 2936.37 1465.15, 2935.69 1465.01, 2931.83 1464.07, 2929.5 1463.59, 2927.36 1463.16, 2927.2 1463.12, 2922.95 1462.62))",1377.501263,Capital,820942,"(3195.2101714753835, 1585.590525266071)"
7,C08,Outer Central,"POLYGON ((2952 1406.73, 2952 1412.42, 2952 1416.72, 2952 1420.71, 2952 1432.07, 2952 1440.37, 2952 1444, 2955.36 1444, 2964.05 1444, 2970.6 1444, 2977.96 1444, 2982.87 1444, 2996 1444, 3002.61 1444, 3009.72 1444, 3016.83 1444, 3032.61 1444, 3040 1444, 3051.63 1444, 3056.8 1444, 3059.37 1444, 3061.39 1444, 3083.62 1444, 3084 1444, 3094.48 1444, 3104.96 1444, 3112.98 1444, 3117.62 1444, 3122.81 1444, 3128 1444, 3128 1431.4, 3128 1425.4, 3128 1418.53, 3128 1409.1, 3128 1400, 3128 1383.78, 3128 1377.94, 3128 1377.91, 3128 1366.27, 3128 1356, 3128 1353.05, 3128 1342.72, 3128 1336.39, 3128 1334, 3128 1331.27, 3128 1331.26, 3128 1326.58, 3128 1323.12, 3128 1321.53, 3128 1314.47, 3128 1312, 3122.23 1312, 3119.26 1312, 3116.73 1312, 3114.53 1312, 3111.93 1312, 3109.7 1312, 3107.21 1312, 3102.71 1312, 3100.68 1312, 3099.2 1312, 3097.7 1312, 3096.75 1312, 3093.68 1312, 3092.15 1312, 3089.37 1312, 3088.66 1312, 3087.26 1312, 3085.23 1312, 3084 1312, 3080.35 1312, 3077.97 1312, 3077.46 1312, 3075.57 1312, 3073.55 1312, 3069.8 1312, 3066.48 1312, 3066.22 1312, 3064.33 1312, 3062.4 1312, 3062 1312, 3061.37 1312, 3059.8 1312, 3056.87 1312, 3055.14 1312, 3054.27 1312, 3051.34 1312, 3047.89 1312, 3043.82 1312, 3042.25 1312, 3040 1312, 3040 1312.84, 3040 1314.79, 3040 1317.34, 3040 1319.3, 3040 1323.87, 3040 1326.21, 3040 1329.04, 3040 1330.72, 3040 1334, 3040 1336.6, 3040 1340.84, 3040 1347.4, 3040 1349.61, 3040 1353.45, 3040 1356, 3040 1357.75, 3040 1362.14, 3040 1366.16, 3040 1373.05, 3040 1378, 3040 1381.14, 3040 1382.36, 3040 1387.36, 3040 1393.58, 3040 1396.75, 3040 1400, 3036.95 1400, 3025.53 1400, 3020.13 1400, 3014.88 1400, 3005.64 1400, 3004.27 1400, 2996 1400, 2994.48 1400, 2985.5 1400, 2981.6 1400, 2972.81 1400, 2961.31 1400, 2952 1400, 2952 1406.73))",241.396408,Capital,1078665,"(3061.999999999999, 1388.9999999999998)"
8,C09,The Central,"POLYGON ((2908 1344.41, 2908 1347.52, 2908 1353.08, 2908 1356, 2908 1360.05, 2908 1364.68, 2908 1378, 2908 1379.75, 2908 1382.42, 2908 1389, 2908 1394.68, 2908 1400, 2912.18 1400, 2915.18 1400, 2918.48 1400, 2924.32 1400, 2928.44 1400, 2934.3 1400, 2943.7 1400, 2950.82 1400, 2952 1400, 2961.31 1400, 2972.81 1400, 2981.6 1400, 2985.5 1400, 2994.48 1400, 2996 1400, 3004.27 1400, 3005.64 1400, 3014.88 1400, 3020.13 1400, 3025.53 1400, 3036.95 1400, 3040 1400, 3040 1396.75, 3040 1393.58, 3040 1387.36, 3040 1382.36, 3040 1381.14, 3040 1378, 3040 1373.05, 3040 1366.16, 3040 1362.14, 3040 1357.75, 3040 1356, 3040 1353.45, 3040 1349.61, 3040 1347.4, 3040 1340.84, 3040 1336.6, 3040 1334, 3040 1330.72, 3040 1329.04, 3040 1326.21, 3040 1323.87, 3040 1319.3, 3040 1317.34, 3040 1314.79, 3040 1312.84, 3040 1312, 3039.19 1312, 3039.18 1312, 3036.89 1312, 3029.6 1312, 3026.37 1312, 3024.96 1312, 3018.69 1312, 3018 1312, 3010.63 1312, 3006.25 1312, 3002.27 1312, 2998.01 1312, 2996 1312, 2993.7 1312, 2992.5 1312, 2984.1 1312, 2973.67 1312, 2973.6 1312, 2966.6 1312, 2960.94 1312, 2958.31 1312, 2952.64 1312, 2952 1312, 2944.67 1312, 2934.63 1312, 2925.82 1312, 2921.76 1312, 2917.28 1312, 2912.01 1312, 2908 1312, 2908 1314.28, 2908 1323, 2908 1329.8, 2908 1334, 2908 1340.5, 2908 1342.66, 2908 1344.41))",181.047148,Capital,1067517,"(2974.0, 1355.999999999999)"
9,C10,The Temple,"POLYGON ((2908 1251.48, 2908 1253.82, 2908 1257.76, 2908 1261.23, 2908 1263.38, 2908 1264.17, 2908 1265.99, 2908 1268, 2908 1271.09, 2908 1274.17, 2908 1278.66, 2908 1279.34, 2908 1282.33, 2908 1284.36, 2908 1289.28, 2908 1295.24, 2908 1296.47, 2908 1303.73, 2908 1312, 2912.01 1312, 2917.28 1312, 2921.76 1312, 2925.82 1312, 2934.63 1312, 2944.67 1312, 2952 1312, 2952.64 1312, 2958.31 1312, 2960.94 1312, 2966.6 1312, 2973.6 1312, 2973.67 1312, 2984.1 1312, 2992.5 1312, 2993.7 1312, 2996 1312, 2996 1306.89, 2996 1301.82, 2996 1297.06, 2996 1294.68, 2996 1292.19, 2996 1290, 2996 1286.08, 2996 1281.24, 2996 1278.03, 2996 1277, 2996 1275.5, 2996 1269.84, 2996 1268, 3000.78 1268, 3005.8 1268, 3007.72 1268, 3014.86 1268, 3014.89 1268, 3017.05 1268, 3018 1268, 3018 1264.94, 3018 1260.3, 3018 1255.41, 3018 1249.66, 3018 1246, 3018 1241.64, 3018 1237.37, 3018 1233.49, 3018 1229.44, 3018 1225.09, 3018 1223, 3016.49 1223, 3012.23 1223, 3008.13 1223, 3004.19 1223, 2996 1223, 2993.29 1223, 2987.7 1223, 2982.01 1223, 2972.98 1223, 2963.73 1223, 2952 1223, 2944.92 1223, 2932.64 1223, 2920.37 1223, 2908 1223, 2908 1226.34, 2908 1237.21, 2908 1240.54, 2908 1244.57, 2908 1251.48))",137.501276,Capital,1185695,"(2958.172069825437, 1265.0311720698262)"
