Zone,County,District,Area,Region,Population,Constituency
Alington,A01,Alington City,37.718146999999995,Capital,540658,The City of Alington
Alington,A02,Alington City,7.54363,Capital,64742,The City of Alington
Alington,A03,Alington City,26.059807999999997,Capital,341794,Upper Alington
Alington,A04,Alington City,22.630883000000004,Capital,336535,Upper Alington
Alington,A05,Alington City,26.745596,Capital,251610,Upper Alington
Alington,A06,Alington Pass,30.174519,Capital,252552,Alington Pass
Alington,A07,Alington Pass,15.087252,Capital,198509,Alington Pass
Alington,A08,Alington Pass,15.087261999999999,Capital,150267,Alington Pass
Alington,A09,Alington Pass,30.174523999999998,Capital,99633,Alington Pass
Alington,A10,Alington Pass,61.72065899999999,Capital,279664,Alington Pass
Alington,A11,Alington Pass,46.288492000000005,Capital,234747,Alington Pass
Alington,A12,Alington City,45.261796,Capital,639437,The City of Alington
Alma Bridge,AB01,White Bridge and Red Market,17.092692,Lowland,258391,Red Market
Alma Bridge,AB02,White Bridge and Red Market,20.315839,Lowland,329529,Red Market
Alma Bridge,AB03,White Bridge and Red Market,13.616703,Lowland,166659,White Bridge
Alma Bridge,AB04,White Bridge and Red Market,13.303215,Lowland,74157,White Bridge
Alma Bridge,AB05,White Bridge and Red Market,8.153532,Lowland,75251,White Bridge
Alma Bridge,AB06,White Bridge and Red Market,12.174630999999998,Lowland,190917,White Bridge
Alma Bridge,AB07,White Bridge and Red Market,9.122300000000001,Lowland,144905,White Bridge
Alma Bridge,AB08,White Bridge and Red Market,7.934212000000001,Lowland,80651,Red Market
Alma Bridge,AB09,White Bridge and Red Market,10.804052,Lowland,66071,Red Market
Alma Bridge,AB10,White Bridge and Red Market,6.932187,Lowland,56760,Red Market
Alma Bridge,AB11,Weston Cross,20.536565,Lowland,220649,Red Market
Alma Bridge,AB12,Weston Cross,12.40981,Lowland,172539,West Cross
Alma Bridge,AB13,Weston Cross,25.716065,Lowland,247886,West Cross
Alma Bridge,AB14,Weston Cross,13.252388,Lowland,160019,West Cross
Alma Bridge,AB15,Weston Cross,15.480822,Lowland,133405,West Cross
Alma Bridge,AB16,Weston Cross,11.853515,Lowland,119915,West Cross
Alma Bridge,AB17,Weston Cross,29.837110000000003,Lowland,297860,West Cross
Alma Bridge,AB18,Alma Causeway,27.556276,Lowland,138319,Bayes Causeway
Alma Bridge,AB19,Alma Causeway,14.972872999999998,Lowland,97961,Bayes Causeway
Alma Bridge,AB20,Alma Causeway,39.154504,Lowland,367858,Bayes Causeway
Alma Bridge,AB21,Alma Causeway,14.863323,Lowland,59997,Bayes Causeway
Alma Bridge,AB22,Southwest Almouth and Jackenville,50.301277,Lowland,175100,Southwest Almouth and Jackenville
Alma Bridge,AB23,Southwest Almouth and Jackenville,55.069962999999994,Lowland,27696,Southwest Almouth and Jackenville
Alma Bridge,AB24,Southwest Almouth and Jackenville,50.446863,Lowland,125241,Southwest Almouth and Jackenville
Alma Bridge,AB25,Southwest Almouth and Jackenville,33.925952,Lowland,172165,Southwest Almouth and Jackenville
Alma Bridge,AB26,Southwest Almouth and Jackenville,95.5827,Lowland,240933,Southwest Almouth and Jackenville
Alma Bridge,AB27,Southwest Almouth and Jackenville,91.15909099999999,Lowland,46319,Southwest Almouth and Jackenville
Alma Bridge,AB28,Southwest Almouth and Jackenville,37.69946999999999,Lowland,207139,Southwest Almouth and Jackenville
Alma Bridge,AB29,Southwest Almouth and Jackenville,54.495591000000005,Lowland,192720,Southwest Almouth and Jackenville
Alma Bridge,AB30,East Almouth,72.088987,Lowland,216822,East Almouth
Alma Bridge,AB31,East Almouth,120.13851199999998,Lowland,69452,East Almouth
Alma Bridge,AB32,East Almouth,48.99047000000001,Lowland,37248,East Almouth
Alma Bridge,AB33,East Almouth,65.895666,Lowland,233543,East Almouth
Alma Bridge,AB34,East Almouth,38.818426,Lowland,542903,East Almouth
Alma Bridge,AB35,White Bridge and Red Market,29.974573,Lowland,254904,White Bridge
Alma Forest,AF01,Greater Almouth,91.209334,Lowland,32031,Greater Almouth
Alma Forest,AF02,Greater Almouth,96.00982599999999,Lowland,33522,Greater Almouth
Alma Forest,AF03,Greater Almouth,79.208104,Lowland,9712,Greater Almouth
Alma Forest,AF04,Greater Almouth,79.20810399999998,Lowland,23689,Greater Almouth
Alma Forest,AF05,Greater Almouth,129.613264,Lowland,10296,Greater Almouth
Alma Forest,AF06,Greater Almouth,187.22095900000002,Lowland,5969,Greater Almouth
Alma Forest,AF07,Greater Almouth,362.09415699999994,Lowland,10862,Greater Almouth
Alma Forest,AF08,Greater Almouth,400.498131,Lowland,8299,Greater Almouth
Alma Forest,AF09,Greater Almouth,1108.570593,Lowland,11316,Greater Almouth
Alma Forest,AF10,Greater Almouth,485.504227,Lowland,97617,Greater Almouth
Alma Forest,AF11,Greater Almouth,1107.354884,Lowland,17370,Greater Almouth
Alma Forest,AF12,Greater Almouth,694.325601,Lowland,10683,Greater Almouth
Alma Forest,AF13,Greater Almouth,671.88277,Lowland,6765,Greater Almouth
Alma Heath,AH01,Greater Almouth,458.85215400000004,Lowland,33037,Greater Almouth
Alma Heath,AH02,Greater Almouth,536.158767,Lowland,11494,Greater Almouth
Alma Heath,AH03,Greater Almouth,536.1606119999999,Lowland,31661,Greater Almouth
Alma Heath,AH04,Greater Almouth,554.864499,Lowland,8463,Greater Almouth
Oakfield Bush,AK01,Dressingham and Oakfield Bush,15.087258999999998,Lowland,44612,Upper Eastland and Readington
Oakfield Bush,AK02,Dressingham and Oakfield Bush,15.087257,Lowland,60110,Upper Eastland and Readington
Oakfield Bush,AK03,Dressingham and Oakfield Bush,22.630887,Lowland,725,Upper Eastland and Readington
Oakfield Bush,AK04,Dressingham and Oakfield Bush,22.630887,Lowland,1124,Upper Eastland and Readington
Oakfield Bush,AK05,Dressingham and Oakfield Bush,22.630887,Lowland,1088,Upper Eastland and Readington
Oakfield Bush,AK06,Dressingham and Oakfield Bush,22.630887,Lowland,1017,Upper Eastland and Readington
Oakfield Bush,AK07,Dressingham and Oakfield Bush,447.334091,Lowland,4581,Upper Eastland and Readington
