District,District_ID,District_Ward,geometry,Area,Region,Population,Constituency,centroid,ward_immigrant,ward_localists,Winning_Perspective
Alington City,1,Ward 3,"POLYGON ((2864 1334, 2856.88 1334, 2856.88 1339.34, 2855.21 1339.38, 2848.92 1339.38, 2848.92 1342.35, 2848.92 1346.52, 2856.86 1346.52, 2856.86 1348.87, 2852.98 1350.62, 2864 1356, 2864 1346.52, 2864 1339.34, 2864 1334))",3.246925,Capital,21474,The City of Alington,"(2858.285335320632, 1344.0501931359797)",,,Vote_L
Alington City,2,Ward 28,"POLYGON ((2864 1339.34, 2864 1346.52, 2872.69 1346.52, 2880.97 1348.5, 2882.64 1346.55, 2876.9 1341.69, 2874.78 1339.34, 2864 1339.34))",1.773416,Capital,26816,The City of Alington,"(2872.057949889211, 1343.6000356396187)",,,Vote_L
Alington City,3,Ward 31,"POLYGON ((2875.83 1337.47, 2878.23 1334.94, 2878.63 1333.14, 2877.3 1328.75, 2872.03 1330.81, 2864 1334, 2864 1339.34, 2874.78 1339.34, 2875.83 1337.47))",1.661607,Capital,22180,The City of Alington,"(2871.4754643040105, 1334.9550576492163)",,,Vote: Left_MR
Alington City,4,Ward 25,"POLYGON ((2874.34 1350.79, 2873.89 1351.95, 2876.93 1353.11, 2878.53 1351.3, 2880.12 1349.5, 2880.97 1348.5, 2872.69 1346.52, 2864 1346.52, 2864 1356, 2870.2 1356, 2871.74 1350.19, 2874.34 1350.79))",1.628542,Capital,22310,The City of Alington,"(2870.4082686796046, 1350.5380067564768)",,,Vote_L
Alington City,5,Ward 32,"POLYGON ((2863.83 1322.69, 2859.83 1324.15, 2864 1329.21, 2864 1334, 2872.03 1330.81, 2877.3 1328.75, 2875.08 1326.19, 2871.12 1324.34, 2863.83 1322.69))",1.594,Capital,22786,The City of Alington,"(2868.076396870934, 1327.6668213045316)",,,Vote: Left_MR
Alington City,6,Ward 34,"POLYGON ((2856.95 1320.67, 2855.49 1320.09, 2852.96 1323.89, 2852.36 1324.68, 2851.16 1326.82, 2848.81 1331.24, 2848.92 1334, 2856.88 1334, 2864 1334, 2864 1329.21, 2859.83 1324.15, 2856.95 1320.67))",2.204341,Capital,23578,The City of Alington,"(2856.5278809401257, 1328.8337169013632)",,,Vote_L
Alington City,7,Ward 1,"POLYGON ((2845.63 1342.39, 2845.68 1346.67, 2845.65 1349.48, 2842 1349.48, 2842 1356, 2854 1356, 2864 1356, 2852.98 1350.62, 2856.86 1348.87, 2856.86 1346.52, 2848.92 1346.52, 2848.92 1342.35, 2845.63 1342.39))",2.321545,Capital,23175,The City of Alington,"(2850.1712807091585, 1351.204055852765)",,,Vote_L
Alington City,8,Ward 2,"POLYGON ((2855.21 1339.38, 2856.88 1339.34, 2856.88 1334, 2848.92 1334, 2842 1334, 2842 1342.35, 2842 1349.48, 2845.65 1349.48, 2845.68 1346.67, 2845.63 1342.39, 2848.92 1342.35, 2848.92 1339.38, 2855.21 1339.38))",1.97516,Capital,20093,The City of Alington,"(2847.636339802518, 1339.269302768549)",,,Vote_L
Alington City,9,Ward 60,"POLYGON ((2874.58 1356, 2870.2 1356, 2864 1356, 2854 1356, 2854 1367.11, 2855.06 1367.97, 2856.62 1365.43, 2858.79 1363.47, 2860.68 1361.52, 2868.29 1363.76, 2870.98 1359.27, 2874.58 1356))",2.038465,Capital,29938,Upper Alington,"(2862.032998866361, 1359.8019811764364)",,,Vote_L
Alington City,10,Ward 26,"POLYGON ((2886.99 1356, 2885.28 1354.5, 2889.48 1350.13, 2890.88 1348.5, 2880.97 1348.5, 2880.12 1349.5, 2878.53 1351.3, 2876.93 1353.11, 2873.89 1351.95, 2874.34 1350.79, 2871.74 1350.19, 2870.2 1356, 2874.58 1356, 2884.34 1356, 2886.99 1356))",1.54243,Capital,23561,The City of Alington,"(2880.400163272284, 1352.6087579251403)",,,Vote: Left_MR
Alington City,11,Ward 30,"POLYGON ((2887.48 1330.84, 2888.81 1329.02, 2890.72 1326.63, 2886.82 1323.92, 2883.27 1328.07, 2878.63 1333.14, 2878.23 1334.94, 2875.83 1337.47, 2874.78 1339.34, 2876.9 1341.69, 2879.32 1341.3, 2881.2 1340.2, 2883.3 1338.77, 2884.88 1337.45, 2886.69 1334.77, 2887.36 1333.1, 2887.48 1330.84))",1.827326,Capital,25069,The City of Alington,"(2882.799123259076, 1333.4891128546174)",,,Vote: Left_MR
Alington City,12,Ward 35,"POLYGON ((2873.18 1320.43, 2871.12 1324.34, 2875.08 1326.19, 2877.3 1328.75, 2878.63 1333.14, 2883.27 1328.07, 2886.82 1323.92, 2881.81 1319.62, 2878.04 1323.18, 2873.18 1320.43))",1.475185,Capital,22998,The City of Alington,"(2879.350357012298, 1325.2504599428057)",,,Vote: Left_MR
Alington City,13,Ward 27,"POLYGON ((2893.78 1343.91, 2894.52 1341.74, 2893.53 1337.6, 2892.05 1336.05, 2887.26 1341.34, 2883.3 1338.77, 2881.2 1340.2, 2879.32 1341.3, 2876.9 1341.69, 2882.64 1346.55, 2880.97 1348.5, 2890.88 1348.5, 2893.16 1346.56, 2893.78 1343.91))",1.947224,Capital,27499,The City of Alington,"(2887.2307856395214, 1343.3510453697854)",,,Vote: Left_MR
