County,District,Shape_ID,Area,Region,County_Type,Population,District_Ward,Constituency
A01,Alington City,A01_001,0.577635,Capital,E1,10428,Ward 35,The City of Alington
A01,Alington City,A01_002,1.008987,Capital,A1,10036,Ward 37,The City of Alington
A01,Alington City,A01_003,0.416791,Capital,F1,6029,Ward 36,The City of Alington
A01,Alington City,A01_004,0.386001,Capital,D1,7069,Ward 36,The City of Alington
A01,Alington City,A01_005,0.327799,Capital,E1,5768,Ward 35,The City of Alington
A01,Alington City,A01_006,0.866579,Capital,A2,11924,Ward 38,The City of Alington
A01,Alington City,A01_007,0.477335,Capital,D1,7898,Ward 36,The City of Alington
A01,Alington City,A01_008,0.319124,Capital,B1,5460,Ward 39,The City of Alington
A01,Alington City,A01_009,0.373873,Capital,S,3975,Ward 39,The City of Alington
A01,Alington City,A01_010,0.381007,Capital,E1,4553,Ward 32,The City of Alington
A01,Alington City,A01_011,0.197518,Capital,S,3294,Ward 39,The City of Alington
A01,Alington City,A01_012,0.578048,Capital,S,9921,Ward 38,The City of Alington
A01,Alington City,A01_013,0.687041,Capital,A1,7533,Ward 40,The City of Alington
A01,Alington City,A01_014,0.638823,Capital,D1,8881,Ward 32,The City of Alington
A01,Alington City,A01_015,0.446431,Capital,B1,5324,Ward 39,The City of Alington
A01,Alington City,A01_016,0.301383,Capital,B1,3476,Ward 39,The City of Alington
A01,Alington City,A01_017,0.31233,Capital,B1,3739,Ward 34,The City of Alington
A01,Alington City,A01_018,0.610887,Capital,A1,8507,Ward 33,The City of Alington
A01,Alington City,A01_019,0.174641,Capital,A1,2776,Ward 33,The City of Alington
A01,Alington City,A01_020,0.127074,Capital,A1,3518,Ward 33,The City of Alington
A01,Alington City,A01_021,0.57417,Capital,S,9352,Ward 32,The City of Alington
A01,Alington City,A01_022,0.898068,Capital,S,9005,Ward 34,The City of Alington
A01,Alington City,A01_023,0.993943,Capital,S,10834,Ward 34,The City of Alington
A01,Alington City,A01_024,1.007104,Capital,S,9192,Ward 33,The City of Alington
A01,Alington City,A01_025,0.610848,Capital,A2,7061,Ward 31,The City of Alington
A01,Alington City,A01_026,1.050759,Capital,S,15119,Ward 31,The City of Alington
A01,Alington City,A01_027,1.08942,Capital,S,16087,Ward 28,The City of Alington
