County,Expected_Pop,Notes,Type
A01,528054,,City
A02,66007,,City
A03,338778,,City
A04,339463,,City
A05,247397,,City
A06,256483,,City
A07,196134,,City
A08,150873,,City
A09,98067,,City
A10,277743,,City
A11,231452,,City
A12,633665,,City
C01,98067,,City
C02,105611,,City
C03,188591,,City
C04,143329,,City
C05,96181,,City
C06,96181,,City
C07,45262,,City
C08,49034,,City
C09,64121,,City
C10,68647,,City
C11,35832,,City
C12,39604,,City
C13,37718,,City
C14,86752,,City
C15,82980,,City
C16,71664,,City
C17,73550,,City
C18,49034,,City
C19,73550,,City
C20,80340,,City
C21,98067,,City
C22,34324,,City
C23,53560,,City
C24,52805,,City
C25,64875,,City
C26,98067,,City
C27,150873,,City
D01,98067,,City
D02,54691,,City
D03,58463,,City
D04,47148,,City
D05,63366,,City
D06,63366,,City
D07,79208,,City
D08,147101,,City
D09,55549,,City
D10,14813,,Rural
D11,45659,,Rural
DR01,135785,,City
DR02,144838,,City
DR03,81471,,City
DR04,70156,,City
DR05,77941,,City
DR06,52977,,City
DR07,49417,,City
DR08,169732,,City
DR09,158416,,City
DR10,42819,,City
GR01,101839,,City
GR02,113154,,City
GR03,79208,,City
GR04,86752,,City
GR05,86752,,City
GR06,101839,,City
GR07,181047,,City
GR08,135785,,City
GR09,98410,,City
GR10,389526,,City
L01,52318,,City
L02,5695,,Rural
L03,3348,,Rural
L04,14589,,Rural
L05,29832,,Rural
T01,120698,,City
T02,305517,,City
T03,441302,,City
T04,301745,,City
T05,678927,,City
T06,191521,,City
T07,178709,,City
T08,171378,,City
T09,392269,,City
TD01,211222,,City
TD02,71664,,City
TD03,49034,,City
TD04,60349,,City
TD05,94295,,City
TD06,113154,,City
TD07,82980,,City
TD08,75436,,City
TD09,120698,,City
TD10,105611,,City
TD11,110411,,City
TD12,102525,,City
TD13,109383,,City
TD14,90524,,City
TD15,78865,,City
TD16,59149,,City
TD17,203678,,City
TD18,94638,,City
TD19,308603,,City
TD20,301745,,City
TM01,124470,,City
TM02,452618,,City
TM03,113154,,City
TM04,113154,,City
TM05,110411,,City
TM06,192877,,City
TM07,162017,,City
TM08,128156,,City
TM09,107543,,City
TM10,123441,,City
TM11,150873,,City
TM12,107497,,City
TM13,102868,,City
