,County,Shape_ID,Shape,geometry
0,NC1,NC1_01,8,"POLYGON ((3251.4711 1426.3328, 3257.8732 1412, 3262.7703 1401.0364, 3262.3242 1400, 3254.3863 1400, 3242.2313 1400, 3235 1400, 3235 1413.7219, 3235 1429.2481, 3247 1427.1242, 3251.4711 1426.3328))"
1,NC1,NC1_02,8,"POLYGON ((3257.1039 1432, 3251.4711 1426.3328, 3247 1427.1242, 3235 1429.2481, 3235 1444, 3258.4504 1444, 3261.203 1436.124, 3257.1039 1432))"
2,NC1,NC1_03,8,"POLYGON ((3261.203 1436.124, 3269.716 1432, 3272.4243 1430.688, 3276.3472 1415.3106, 3273.1983 1412, 3262.7703 1401.0364, 3257.8732 1412, 3251.4711 1426.3328, 3257.1039 1432, 3261.203 1436.124))"
3,NC1,NC1_04,8,"POLYGON ((3272.4243 1430.688, 3269.716 1432, 3261.203 1436.124, 3258.4504 1444, 3269.2751 1444, 3273.6808 1444, 3283.7581 1444, 3283.7878 1444, 3273.5443 1432, 3272.4243 1430.688))"
4,NC1,NC1_05,8,"POLYGON ((3262.3242 1400, 3262.7703 1401.0364, 3273.1983 1412, 3276.3472 1415.3106, 3282.0905 1415.5094, 3287.2131 1410.7929, 3292.3264 1406.0849, 3293.1578 1405.3195, 3292.8745 1405.0406, 3282 1394.3331, 3282 1399.5497, 3282 1400, 3274.4943 1400, 3270.4074 1400, 3264.9913 1400, 3262.3242 1400))"
5,NC1,NC1_06,8,"POLYGON ((3293.7772 1444, 3322.0443 1444, 3324.9268 1444, 3315.1899 1439.0761, 3306.8845 1432, 3298.4962 1426.689, 3289.3724 1422.4839, 3282.0905 1415.5094, 3276.3472 1415.3106, 3272.4243 1430.688, 3273.5443 1432, 3283.7878 1444, 3293.7772 1444))"
6,NC1,NC1_07,8,"POLYGON ((3308.1309 1398.2921, 3314 1392.2074, 3326 1384.658, 3326 1378, 3322.991 1378, 3316.7886 1378, 3304 1378, 3299.5372 1378, 3293.3871 1378, 3287.3571 1378, 3283.054 1378, 3282.0336 1378, 3282 1378, 3282 1381.874, 3282 1386.2042, 3282 1390.0552, 3282 1394.3331, 3292.8745 1405.0406, 3293.1578 1405.3195, 3300.3951 1401.4096, 3308.1309 1398.2921))"
7,NC1,NC1_08,8,"POLYGON ((3315.1899 1439.0761, 3324.9268 1444, 3326 1444, 3326 1436.9601, 3326 1435.5182, 3326 1421.7444, 3326 1386.1353, 3326 1384.658, 3314 1392.2074, 3308.1309 1398.2921, 3300.3951 1401.4096, 3293.1578 1405.3195, 3292.3264 1406.0849, 3287.2131 1410.7929, 3282.0905 1415.5094, 3289.3724 1422.4839, 3298.4962 1426.689, 3306.8845 1432, 3315.1899 1439.0761))"
8,NC2,NC2_01,38,"POLYGON ((3240.5999 1370.3275, 3243.4557 1362.6592, 3235 1363.2988, 3235 1371.1935, 3240.5999 1370.3275))"
9,NC2,NC2_02,38,"POLYGON ((3235 1363.2988, 3243.4557 1362.6592, 3243.6148 1362.594, 3243.8305 1362.189, 3243.4828 1356, 3241.167 1356, 3235.4801 1356, 3235 1356, 3235 1363.2988))"
