Zone,County,District,Shape_ID,geometry,Area,Population_Density,Region,Location,County_Type,Capacity,Population,District_Ward
,C01,,C01_010,"POLYGON ((2914.519 1373.1844, 2916.8512 1372.1411, 2920.5828 1376.287, 2920.4129 1376.3603, 2919.2385 1376.7552, 2917.6841 1377.3441, 2917.6169 1377.37, 2917.1715 1376.6284, 2916.4988 1375.5084, 2914.519 1373.1844))",,,,,,,,
,C01,,C01_007,"POLYGON ((2922.9415 1373.5707, 2922.6843 1373.1559, 2922.1015 1372.0143, 2921.6005 1370.916, 2920.5707 1371.0561, 2919.3779 1371.3543, 2918.6324 1371.5593, 2916.8512 1372.1411, 2920.5828 1376.287, 2920.6104 1376.2633, 2921.7536 1375.8852, 2922.3024 1375.6821, 2922.5333 1375.5872, 2922.6518 1375.5384, 2923.502 1375.254, 2923.3568 1374.8763, 2923.2673 1374.604, 2922.9415 1373.5707))",,,,,,,,
,C01,,C01_035,"POLYGON ((2909.9881 1372.0085, 2912.4334 1371.1408, 2911.6987 1367.3778, 2911.3767 1367.6337, 2910.1669 1367.8378, 2909.4752 1368.5704, 2909.7132 1369.869, 2909.8297 1371.0801, 2909.9881 1372.0085))",,,,,,,,
,C01,,C01_020,"POLYGON ((2912.4334 1371.1408, 2913.4504 1372.1331, 2914.519 1373.1844, 2913.5777 1374.2164, 2912.5396 1375.5752, 2911.8187 1376.549, 2911.1451 1377.691, 2911.099 1377.7706, 2911.0407 1377.7136, 2911.0428 1377.7111, 2910.7856 1376.5865, 2910.5428 1375.6295, 2910.4784 1375.3743, 2910.4719 1375.3712, 2910.4392 1375.1342, 2910.3712 1374.4428, 2910.1999 1373.2272, 2909.9881 1372.0085, 2912.4334 1371.1408))",,,,,,,,
,C01,,C01_040,"POLYGON ((2912.4334 1371.1408, 2911.6987 1367.3778, 2912.7384 1366.4312, 2913.7589 1365.8067, 2915.093 1368.6704, 2916.8512 1372.1411, 2914.519 1373.1844, 2913.4504 1372.1331, 2912.4334 1371.1408))",,,,,,,,
,C01,,C01_038,"POLYGON ((2915.093 1368.6704, 2918.3621 1368.5362, 2918.1056 1366.1605, 2916.8603 1366.2673, 2915.477 1366.05, 2914.1757 1365.8523, 2914.1356 1365.8529, 2914.0902 1365.8536, 2914.0556 1365.8541, 2913.7589 1365.8067, 2915.093 1368.6704))",,,,,,,,
,C01,,C01_036,"POLYGON ((2918.3621 1368.5362, 2918.9822 1370.1982, 2919.3779 1371.3543, 2918.6324 1371.5593, 2916.8512 1372.1411, 2915.093 1368.6704, 2918.3621 1368.5362))",,,,,,,,
,C01,,C01_043,"POLYGON ((2918.3621 1368.5362, 2918.1056 1366.1605, 2919.6132 1366.2103, 2920.5173 1366.2416, 2921.4603 1366.4855, 2921.7383 1366.5508, 2921.768 1366.5372, 2921.7863 1366.5516, 2921.7848 1366.5624, 2922.0729 1367.1416, 2921.6518 1368.314, 2921.3992 1369.7138, 2921.6005 1370.916, 2920.5707 1371.0561, 2919.3779 1371.3543, 2918.9822 1370.1982, 2918.3621 1368.5362))",,,,,,,,
,C01,,C01_002,"POLYGON ((2926.935 1359.6318, 2925.6751 1359.5907, 2925.3572 1359.7394, 2925.6481 1361.1964, 2925.8815 1362.4553, 2925.9019 1363.7372, 2925.8991 1363.9402, 2925.963 1364.0752, 2926.297 1363.7825, 2926.3259 1363.7464, 2927.2363 1362.8116, 2928.2252 1361.8277, 2929.026 1360.9831, 2929.0892 1360.9537, 2929.0882 1360.9233, 2929.1285 1360.8847, 2929.4136 1360.7338, 2929.779 1360.2474, 2929.515 1360.1382, 2928.9692 1359.9892, 2926.935 1359.6318))",,,,,,,,
,C01,,C01_003,"POLYGON ((2929.8608 1360.0472, 2929.779 1360.2474, 2929.4136 1360.7338, 2929.1285 1360.8847, 2929.0882 1360.9233, 2929.0892 1360.9537, 2929.026 1360.9831, 2928.2252 1361.8277, 2927.2363 1362.8116, 2926.3259 1363.7464, 2926.297 1363.7825, 2925.963 1364.0752, 2925.7641 1364.3522, 2925.7625 1364.3538, 2925.7531 1364.3634, 2925.6855 1364.3637, 2925.6823 1364.3675, 2925.6858 1364.4323, 2925.6678 1364.4508, 2925.6206 1364.4403, 2925.6138 1364.4482, 2925.5554 1364.5193, 2925.5 1364.6051, 2925.295 1364.8106, 2927.8423 1364.751, 2930 1364.8618, 2930 1362.4367, 2930 1362.2964, 2930 1360.377, 2930 1360.0951, 2930 1360.0705, 2930 1359.845, 2929.9445 1359.871, 2929.9137 1359.9239, 2929.8608 1360.0472))",,,,,,,,
