FROM_TO,A1,A2,B1,C1,C2,D1,D2,E1,E2,F1,F2,UNI
A1,0.45,0.05,0.1,0.15,0.15,0.1,0,0,0,0,0,0
A2,0.1,0.4,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0,0,0
B1,0.05,0.15,0.3,0.2,0.15,0.1,0,0.05,0,0,0,0
C1,0,0.05,0.1,0.3,0.25,0.1,0.1,0.05,0,0,0.05,0
C2,0.05,0,0.05,0.2,0.25,0.25,0.1,0.05,0,0,0.05,0
D1,0,0,0,0.1,0.1,0.25,0.25,0.05,0.15,0.05,0.05,0
D2,0,0.05,0,0,0.05,0.25,0.25,0.05,0.15,0.1,0.1,0
E1,0,0.05,0,0.05,0,0.05,0.1,0.4,0.2,0.1,0.05,0
E2,0,0,0,0,0.05,0.1,0.15,0.05,0.35,0.2,0.1,0
F1,0,0,0,0,0,0.05,0.05,0.05,0.2,0.4,0.25,0
F2,0,0,0,0,0,0.05,0.05,0,0.15,0.2,0.55,0
UNI,0,0,0.1,0.05,0,0.05,0,0.05,0,0,0,0.75
