,County,Shape_ID,Shape,geometry
0,NC1,NC1_01,8,"POLYGON ((3251.4711150003905 1426.3328469021071, 3257.8731683953147 1412, 3262.770279249829 1401.036401946281, 3262.3241597743913 1400, 3254.3862531496316 1400, 3242.2312772577225 1400, 3235 1400, 3235 1413.721856574698, 3235 1429.248056497583, 3247 1427.124186004002, 3251.4711150003905 1426.3328469021071))"
1,NC1,NC1_02,8,"POLYGON ((3257.1039269701564 1432, 3251.4711150003905 1426.3328469021071, 3247 1427.124186004002, 3235 1429.248056497583, 3235 1444, 3258.450396614594 1444, 3261.202957231165 1436.1240205010777, 3257.1039269701564 1432))"
2,NC1,NC1_03,8,"POLYGON ((3261.202957231165 1436.1240205010777, 3269.71596247569 1432, 3272.424334083096 1430.6879627449237, 3276.347192287171 1415.310554350811, 3273.198346229447 1412, 3262.770279249829 1401.036401946281, 3257.8731683953147 1412, 3251.4711150003905 1426.3328469021071, 3257.1039269701564 1432, 3261.202957231165 1436.1240205010777))"
3,NC1,NC1_04,8,"POLYGON ((3272.424334083096 1430.6879627449237, 3269.71596247569 1432, 3261.202957231165 1436.1240205010777, 3258.450396614594 1444, 3269.2750713603327 1444, 3273.6807615831913 1444, 3283.758125583212 1444, 3283.7878107778006 1444, 3273.5443207902363 1432, 3272.424334083096 1430.6879627449237))"
4,NC1,NC1_05,8,"POLYGON ((3262.3241597743913 1400, 3262.770279249829 1401.036401946281, 3273.198346229447 1412, 3276.347192287171 1415.310554350811, 3282.0904955067494 1415.5093856654069, 3287.2130644482136 1410.7929079375897, 3292.3264434735 1406.0848915961333, 3293.1577532567403 1405.3194838246864, 3292.8744909879765 1405.0405715807835, 3282 1394.3330788533017, 3282 1399.549725978584, 3282 1400, 3274.4943046434023 1400, 3270.407442404653 1400, 3264.99128625787 1400, 3262.3241597743913 1400))"
5,NC1,NC1_06,8,"POLYGON ((3293.777165632116 1444, 3322.0443083959335 1444, 3324.9267507073287 1444, 3315.189905166675 1439.0760940406317, 3306.8844910224325 1432, 3298.4962063286353 1426.688993181494, 3289.3723584439285 1422.483921538407, 3282.0904955067494 1415.5093856654069, 3276.347192287171 1415.310554350811, 3272.424334083096 1430.6879627449237, 3273.5443207902363 1432, 3283.7878107778006 1444, 3293.777165632116 1444))"
6,NC1,NC1_07,8,"POLYGON ((3308.130936986717 1398.2921472907306, 3314 1392.2073533410394, 3326 1384.657996127204, 3326 1378, 3322.9910374926003 1378, 3316.7886435064306 1378, 3304 1378, 3299.537196182818 1378, 3293.387111787977 1378, 3287.3570675604856 1378, 3283.053989101414 1378, 3282.0335597239236 1378, 3282 1378, 3282 1381.8740239502888, 3282 1386.20416725231, 3282 1390.0552452625277, 3282 1394.3330788533017, 3292.8744909879765 1405.0405715807835, 3293.1577532567403 1405.3194838246864, 3300.3950861257968 1401.4096085871724, 3308.130936986717 1398.2921472907306))"
7,NC1,NC1_08,8,"POLYGON ((3315.189905166675 1439.0760940406317, 3324.9267507073287 1444, 3326 1444, 3326 1436.960134714056, 3326 1435.5182459490356, 3326 1421.7443675185398, 3326 1386.135262010736, 3326 1384.657996127204, 3314 1392.2073533410394, 3308.130936986717 1398.2921472907306, 3300.3950861257968 1401.4096085871724, 3293.1577532567403 1405.3194838246864, 3292.3264434735 1406.0848915961333, 3287.2130644482136 1410.7929079375897, 3282.0904955067494 1415.5093856654069, 3289.3723584439285 1422.483921538407, 3298.4962063286353 1426.688993181494, 3306.8844910224325 1432, 3315.189905166675 1439.0760940406317))"
8,NC2,NC2_01,38,"POLYGON ((3240.5999181306483 1370.327474859497, 3243.4557397292288 1362.6592066071448, 3235 1363.29877053436, 3235 1371.1935324435838, 3240.5999181306483 1370.327474859497))"
9,NC2,NC2_02,38,"POLYGON ((3235 1363.29877053436, 3243.4557397292288 1362.6592066071448, 3243.6148175491753 1362.593986077749, 3243.830477533151 1362.1890355391754, 3243.4828415960087 1356, 3241.166981590267 1356, 3235.4801494717203 1356, 3235 1356, 3235 1363.29877053436))"
