Zone,County,District,Shape_ID,geometry,Area,Population_Density,Region,Location,County_Type,Capacity,Population,District_Ward
Alington,A01,,A01_001,"POLYGON ((2864 1334, 2864 1356, 2908 1356, 2908 1312, 2842 1312, 2842 1334, 2864 1334))",37.7181,14000,,,,,,
Alington,A02,,A02_001,"POLYGON ((2842 1334, 2842 1356, 2864 1356, 2864 1334, 2842 1334))",7.5436,8750,,,,,,
Alington,A03,,A03_001,"POLYGON ((2854 1356, 2854 1378, 2886 1378, 2886 1400, 2908 1400, 2908 1356, 2854 1356))",26.0598,13000,,,,,,
Alington,A04,,A04_001,"POLYGON ((2886 1378, 2820 1378, 2820 1400, 2886 1400, 2886 1378))",22.6309,15000,,,,,,
Alington,A05,,A05_001,"POLYGON ((2820 1400, 2798 1400, 2798 1378, 2798 1356, 2854 1356, 2854 1378, 2820 1378, 2820 1400))",26.7456,9250,,,,,,
Alington,A06,,A06_001,"POLYGON ((2798 1356, 2842 1356, 2842 1312, 2798 1312, 2798 1356))",30.1745,8500,,,,,,
Alington,A07,,A07_001,"POLYGON ((2820 1312, 2842 1312, 2842 1268, 2820 1268, 2820 1312))",15.0873,13000,,,,,,
Alington,A08,,A08_001,"POLYGON ((2798 1312, 2820 1312, 2820 1268, 2798 1268, 2798 1312))",15.0873,10000,,,,,,
Alington,A09,,A09_001,"POLYGON ((2798 1268, 2754 1268, 2754 1312, 2798 1312, 2798 1268))",30.1745,3250,,,,,,
Alington,A10,,A10_001,"POLYGON ((2754 1223, 2754 1268, 2842 1268, 2842 1223, 2754 1223))",61.7206,4500,,,,,,
Alington,A11,,A11_001,"POLYGON ((2842 1223, 2842 1268, 2908 1268, 2908 1223, 2842 1223))",46.2905,5000,,,,,,
Alington,A12,,A12_001,"POLYGON ((2842 1268, 2842 1290, 2842 1312, 2908 1312, 2908 1268, 2842 1268))",45.2618,14000,,,,,,
Alma Bridge,AB01,,AB01_001,"POLYGON ((2996 1179, 2996 1158, 3018 1158, 3018 1179, 2996 1179))",7.2007,5500,,,,,,
Alma Bridge,AB02,,AB02_001,"POLYGON ((3018 1158, 3018 1179, 3040 1179, 3040 1158, 3018 1158))",7.2007,10500,,,,,,
Alma Bridge,AB03,,AB03_001,"POLYGON ((2996 1158, 2996 1136, 3040 1136, 3040 1158, 2996 1158))",15.0873,5050,,,,,,
Alma Bridge,AB04,,AB04_001,"POLYGON ((3040 1158, 3040 1136, 3084 1136, 3084 1158, 3040 1158))",15.0873,5050,,,,,,
Alma Bridge,AB05,,AB05_001,"POLYGON ((3040 1179, 3062 1179, 3062 1158, 3040 1158, 3040 1179))",7.2007,15000,,,,,,
Alma Bridge,AB06,,AB06_001,"POLYGON ((3062 1179, 3084 1179, 3084 1158, 3062 1158, 3062 1179))",7.2007,15000,,,,,,
Alma Bridge,AB07,,AB07_001,"POLYGON ((3062 1201, 3062 1179, 3084 1179, 3084 1201, 3062 1201))",7.5436,18500,,,,,,
Alma Bridge,AB08,,AB08_001,"POLYGON ((3040 1179, 3040 1201, 3062 1201, 3062 1179, 3040 1179))",7.5436,17000,,,,,,
Alma Bridge,AB09,,AB09_001,"POLYGON ((3018 1201, 3040 1201, 3040 1179, 3018 1179, 3018 1201))",7.5436,12000,,,,,,
Alma Bridge,AB10,,AB10_001,"POLYGON ((2996 1201, 2996 1179, 3018 1179, 3018 1201, 2996 1201))",7.5436,6000,,,,,,
Alma Bridge,AB11,,AB11_001,"POLYGON ((2974 1201, 2996 1201, 2996 1158, 2974 1158, 2974 1201))",14.7444,8000,,,,,,
Alma Bridge,AB12,,AB12_001,"POLYGON ((2952 1201, 2974 1201, 2974 1158, 2952 1158, 2952 1201))",14.7444,9500,,,,,,
Alma Bridge,AB13,,AB13_001,"POLYGON ((2930 1201, 2930 1179, 2952 1179, 2952 1201, 2930 1201))",7.5436,15500,,,,,,
Alma Bridge,AB14,,AB14_001,"POLYGON ((2908 1201, 2930 1201, 2930 1179, 2908 1179, 2908 1201))",7.5436,16500,,,,,,
Alma Bridge,AB15,,AB15_001,"POLYGON ((2908 1179, 2908 1158, 2952 1158, 2952 1179, 2908 1179))",14.4015,13500,,,,,,
Alma Bridge,AB16,,AB16_001,"POLYGON ((2930 1158, 2930 1136, 2996 1136, 2996 1158, 2930 1158))",22.6309,4250,,,,,,
Alma Bridge,AB17,,AB17_001,"POLYGON ((2842 1179, 2842 1136, 2842 1179, 2908 1179, 2908 1158, 2930 1158, 2930 1136, 2842 1136, 2842 1179))",51.7767,4750,,,,,,
Alma Bridge,AB18,,AB18_001,"POLYGON ((2842 1214, 2842 1179, 2908 1179, 2908 1214, 2842 1214))",36.0037,4750,,,,,,
Alma Bridge,AB19,,AB19_001,"POLYGON ((2908 1201, 2952 1201, 2952 1214, 2908 1214, 2908 1201))",8.9152,10500,,,,,,
Alma Bridge,AB20,,AB20_001,"POLYGON ((2952 1201, 2952 1214, 2996 1214, 2996 1201, 2952 1201))",8.9152,9250,,,,,,
Alma Bridge,AB21,,AB21_001,"POLYGON ((2996 1214, 2996 1201, 3040 1201, 3040 1214, 2996 1214))",8.9152,9000,,,,,,
Alma Bridge,AB22,,AB22_001,"POLYGON ((3040 1201, 3040 1214, 3084 1214, 3084 1201, 3040 1201))",8.9152,17000,,,,,,
Alma Bridge,AB23,,AB23_001,"POLYGON ((3084 1214, 3084 1201, 3128 1201, 3128 1214, 3084 1214))",8.9152,18000,,,,,,
Alma Bridge,AB24,,AB24_001,"POLYGON ((3084 1201, 3106 1201, 3106 1179, 3084 1179, 3084 1201))",7.5436,17000,,,,,,
Alma Bridge,AB25,,AB25_001,"POLYGON ((3084 1158, 3084 1179, 3106 1179, 3106 1158, 3084 1158))",7.2007,9500,,,,,,
Alma Bridge,AB26,,AB26_001,"POLYGON ((3106 1179, 3128 1179, 3128 1158, 3106 1158, 3106 1179))",7.2007,11000,,,,,,
Alma Bridge,AB27,,AB27_001,"POLYGON ((3106 1201, 3128 1201, 3128 1179, 3106 1179, 3106 1201))",7.5436,14000,,,,,,
Alma Bridge,AB28,,AB28_001,"POLYGON ((3128 1214, 3128 1179, 3172 1179, 3172 1214, 3128 1214))",24.0025,10000,,,,,,
Alma Bridge,AB29,,AB29_001,"POLYGON ((3172 1179, 3172 1214, 3194 1214, 3194 1179, 3172 1179))",12.0012,12000,,,,,,
Alma Bridge,AB30,,AB30_001,"POLYGON ((3194 1179, 3194 1214, 3226 1214, 3226 1179, 3194 1179))",17.4563,12000,,,,,,
Alma Bridge,AB31,,AB31_001,"POLYGON ((3128 1179, 3128 1158, 3172 1158, 3172 1179, 3128 1179))",14.4015,8000,,,,,,
Alma Bridge,AB32,,AB32_001,"POLYGON ((3172 1179, 3172 1136, 3194 1136, 3194 1179, 3172 1179))",14.7444,11000,,,,,,
Alma Bridge,AB33,,AB33_001,"POLYGON ((3194 1179, 3194 1136, 3226 1136, 3226 1179, 3194 1179))",21.4464,10000,,,,,,
