Zone,County,District,Shape_ID,geometry,Area,Population_Density,Region,Location,County_Type,Capacity,Population,District_Ward
Alington,A01,,A01_001,"POLYGON ((2864 1334, 2864 1356, 2908 1356, 2908 1334, 2908 1312, 2842 1312, 2842 1334, 2864 1334))",37.718146,14000,,,,,,
Alington,A02,,A02_001,"POLYGON ((2842 1334, 2842 1356, 2854 1356, 2864 1356, 2864 1334, 2842 1334))",7.543629,8750,,,,,,
Alington,A03,,A03_001,"POLYGON ((2854 1356, 2854 1378, 2886 1378, 2886 1400, 2908 1400, 2908 1378, 2908 1356, 2864 1356, 2854 1356))",26.05981,13000,,,,,,
Alington,A04,,A04_001,"POLYGON ((2886 1378, 2854 1378, 2820 1378, 2820 1400, 2842 1400, 2864 1400, 2886 1400, 2886 1378))",22.630887,15000,,,,,,
Alington,A05,,A05_001,"POLYGON ((2820 1400, 2798 1400, 2798 1378, 2798 1356, 2842 1356, 2854 1356, 2854 1378, 2820 1378, 2820 1400))",26.745594,9250,,,,,,
Alington,A06,,A06_001,"POLYGON ((2798 1356, 2842 1356, 2842 1334, 2842 1312, 2820 1312, 2798 1312, 2798 1334, 2798 1356))",30.174517,8500,,,,,,
Alington,A07,,A07_001,"POLYGON ((2820 1312, 2842 1312, 2842 1290, 2842 1268, 2820 1268, 2820 1312))",15.087258,13000,,,,,,
Alington,A08,,A08_001,"POLYGON ((2798 1312, 2820 1312, 2820 1268, 2798 1268, 2798 1312))",15.087258,10000,,,,,,
Alington,A09,,A09_001,"POLYGON ((2798 1268, 2754 1268, 2754 1312, 2798 1312, 2798 1268))",30.174517,3250,,,,,,
Alington,A10,,A10_001,"POLYGON ((2754 1223, 2754 1268, 2798 1268, 2820 1268, 2842 1268, 2842 1223, 2754 1223))",61.720602,4500,,,,,,
Alington,A11,,A11_001,"POLYGON ((2842 1223, 2842 1268, 2908 1268, 2908 1223, 2842 1223))",46.290452,5000,,,,,,
Alington,A12,,A12_001,"POLYGON ((2842 1268, 2842 1290, 2842 1312, 2908 1312, 2908 1268, 2842 1268))",45.261775,14000,,,,,,
Alma Bridge,AB35,,AB35,"POLYGON ((2952.54 1163.49, 2952.18 1163.71, 2951.98 1164.02, 2952 1166.69, 2952 1167.03, 2951.79 1167.67, 2951.42 1168.24, 2950.57 1169.12, 2951.45 1169.95, 2951.47 1170.03, 2951.68 1170.05, 2951.87 1170.1, 2951.93 1170.2, 2951.95 1170.2, 2952.07 1170.14, 2952.25 1170.18, 2952.33 1170.27, 2952.38 1170.28, 2952.13 1170.77, 2952.35 1170.9, 2952.76 1172.23, 2950.98 1172.43, 2951.79 1173.48, 2952.51 1174.47, 2952.54 1174.57, 2952.55 1174.6, 2952.76 1174.78, 2953.59 1176, 2954.13 1177.83, 2954.22 1178.57, 2954.47 1179.83, 2954.82 1180.51, 2954.86 1181.61, 2954.76 1182.11, 2954.48 1183.67, 2953.93 1183.83, 2952.44 1184.4, 2952.09 1184.22, 2951.73 1184.2, 2951.78 1184.32, 2952 1185.36, 2952 1188.26, 2951.58 1189.46, 2951.07 1190.12, 2952 1190.77, 2952 1191.26, 2951.97 1193.24, 2952.2 1193.28, 2952.52 1193.37, 2952.01 1195.02, 2952.74 1195.16, 2953.54 1195.39, 2953.82 1195.53, 2954.24 1195.66, 2954.61 1195.7, 2955.57 1196.06, 2956.02 1196.18, 2957.67 1196.39, 2957.72 1196.53, 2957.9 1196.75, 2959 1197.33, 2958.91 1197.56, 2959.07 1197.64, 2960.18 1198.36, 2960.64 1198.62, 2961.79 1199.79, 2962.61 1200.47, 2962.9 1200.99, 2962.73 1201.19, 2962.73 1201.29, 2962.73 1201.29, 2963.32 1202.34, 2963.78 1203.36, 2963.4 1203.56, 2963.65 1204.05, 2964.44 1203.87, 2965.71 1203.4, 2965.76 1203.38, 2965.89 1203.85, 2966.13 1204.48, 2965.27 1204.94, 2964.79 1205.23, 2963.93 1205.77, 2962.9 1206.41, 2962.39 1206.73, 2961.03 1207.57, 2960.03 1208.21, 2957.99 1209.49, 2956.94 1210.1, 2956.82 1210.2, 2956.83 1210.25, 2956.81 1210.54, 2956.98 1212.7, 2957.15 1213.38, 2957.19 1214, 2987.84 1214, 2987.84 1210.88, 2988.63 1210.48, 2989.47 1209.69, 2990.94 1207.14, 2991.51 1206.87, 2991.52 1206.76, 2991.5 1206.17, 2991.51 1206.14, 2992.52 1204.64, 2993.98 1201.87, 2994.41 1201.12, 2994.4 1201.1, 2994.47 1201, 2994.27 1201, 2994.42 1199.99, 2994.05 1198.76, 2993.42 1197.79, 2992.72 1196.79, 2992.41 1195.58, 2991.56 1194.06, 2992.33 1193.72, 2993.82 1193.49, 2994.74 1193.22, 2995.49 1193.16, 2995.64 1191.73, 2996 1191.71, 2996 1180.95, 2996.05 1180.98, 2996.29 1181.12, 2996.45 1180.45, 2996.45 1179.99, 2996.51 1179.46, 2997.06 1177.74, 2997.14 1177.3, 2997.28 1176.64, 2997.73 1175.59, 2997.89 1175.03, 2998.08 1174.52, 2998.11 1174.22, 2998.28 1173.84, 2998.41 1173.59, 2998.8 1172.84, 2999.17 1172.11, 2999.33 1171.84, 2999.47 1171.64, 2999.79 1171.18, 2999.8 1171.09, 3000.13 1170.87, 3000.75 1170.48, 3001.05 1170.24, 3001.34 1170.01, 3001.66 1169.71, 3001.28 1169.58, 3000.89 1169.54, 3000.53 1169.34, 2999.89 1168.89, 2999.52 1168.66, 2998.92 1168.26, 2998.64 1168.03, 2998.49 1167.87, 2998.19 1167.68, 2998.19 1167.67, 2998.18 1167.67, 2997.78 1167.45, 2997.4 1167.54, 2997.12 1167.59, 2996.8 1167.74, 2996.62 1167.84, 2996.12 1168.1, 2995.69 1167.4, 2995.28 1167.07, 2994.69 1166.66, 2994.25 1166.29, 2994.04 1166.09, 2993.73 1165.79, 2993.28 1165.31, 2993.32 1164.79, 2992.96 1164.36, 2992.83 1164.23, 2992.19 1164.2, 2991.81 1164.33, 2991.43 1164.18, 2991.32 1164.37, 2991.14 1164.8, 2991.04 1164.68, 2990.85 1164.81, 2990.69 1164.82, 2990.22 1164.92, 2989.97 1164.96, 2989.62 1165.14, 2989.27 1165.03, 2988.19 1165.08, 2986.82 1165.18, 2986.04 1165.34, 2985.55 1165.46, 2985.06 1165.61, 2983.89 1165.89, 2983.77 1166.13, 2982.88 1167.02, 2981.84 1168.14, 2980.2 1167.99, 2978.8 1167.83, 2977.74 1167.24, 2976.65 1166.61, 2975.71 1165.68, 2974.57 1165.08, 2974 1164.61, 2973.35 1164.38, 2973.29 1163.85, 2973.23 1163.66, 2972.97 1163.24, 2972.21 1162.88, 2972.08 1162.83, 2972.14 1162.68, 2972.2 1162.37, 2972.24 1162.13, 2972.24 1162.13, 2972.2 1162.11, 2971.04 1161.56, 2970.02 1161.18, 2969.53 1161.04, 2967.48 1160.69, 2967.23 1161.82, 2966.98 1162.7, 2966.84 1163.73, 2966.64 1164.96, 2966.61 1164.97, 2965.57 1165.2, 2965.5 1165.12, 2964.25 1165.5, 2962.94 1165.79, 2962.69 1165.86, 2962.27 1165.97, 2961.75 1166.13, 2961.42 1166.26, 2961.16 1165.9, 2960.51 1165.5, 2960.29 1165.42, 2959.38 1165.16, 2958.97 1164.88, 2958.9 1164.63, 2958.53 1164.67, 2958.04 1164.7, 2957.65 1164.57, 2957.31 1164.38, 2957.25 1164.41, 2956.88 1164.09, 2956.7 1163.9, 2956.33 1163.84, 2955.57 1163.7, 2955.35 1163.58, 2955.11 1163.67, 2954.47 1163.54, 2953.98 1162.93, 2953.77 1162.61, 2953.11 1163.15, 2952.99 1163.23, 2952.54 1163.49))",29.974031,8500,,,,,,
Alma Bridge,AB04,,AB04,"POLYGON ((2999.79 1171.18, 2999.47 1171.64, 2999.33 1171.84, 2999.17 1172.11, 2998.8 1172.84, 2998.41 1173.59, 2998.28 1173.84, 2998.11 1174.22, 2998.08 1174.52, 2997.89 1175.03, 2997.73 1175.59, 2997.28 1176.64, 2997.14 1177.3, 2997.06 1177.74, 2996.51 1179.46, 2996.45 1179.99, 2996.45 1180.45, 2996.29 1181.12, 2996.05 1180.98, 2996 1180.95, 2996 1191.71, 2995.64 1191.73, 2995.49 1193.16, 2994.74 1193.22, 2993.82 1193.49, 2992.33 1193.72, 2991.56 1194.06, 2992.41 1195.58, 2992.72 1196.79, 2993.42 1197.79, 2994.05 1198.76, 2994.42 1199.99, 2994.27 1201, 2994.47 1201, 2996 1201, 2996 1200.96, 2996.25 1199.98, 2997.68 1200.13, 2999.69 1200.27, 3001.34 1200.34, 3002.07 1200.05, 3002.57 1199.68, 3002.6 1199.56, 3002.86 1199.42, 3003 1199.32, 3003.38 1199.11, 3003.57 1199.22, 3004.45 1198.53, 3005 1198.1, 3005.36 1197.82, 3005.72 1197.66, 3006.57 1197.29, 3007.13 1197.04, 3007.46 1196.84, 3007.89 1196.56, 3008.81 1195.95, 3009.17 1195.72, 3010.1 1195.1, 3010.64 1194.73, 3011.1 1194.4, 3011.11 1194.21, 3011.17 1193.8, 3011.4 1193.34, 3011.57 1192.96, 3011.66 1192.6, 3011.77 1192.22, 3011.89 1191.86, 3012.01 1191.48, 3012.24 1190.95, 3012.82 1190.23, 3013.54 1189.39, 3013.78 1189.12, 3014.53 1188.23, 3015.27 1187.34, 3015.77 1186.77, 3016.06 1186.44, 3016.34 1186.13, 3016.66 1185.91, 3016.87 1185.52, 3017.09 1185.49, 3017.16 1185.38, 3017.19 1185.33, 3017.29 1185.22, 3017.55 1184.97, 3018.94 1183.69, 3019.45 1183.25, 3019.9 1182.96, 3020.38 1182.68, 3020.73 1182.39, 3020.92 1182.13, 3021.11 1181.75, 3021.63 1181.67, 3022.87 1181.33, 3023.19 1181.29, 3023.23 1181.28, 3023.33 1181.12, 3023.65 1180.94, 3024.08 1180.69, 3024.27 1180.52, 3024.29 1180.47, 3024.51 1180.44, 3025.21 1179.95, 3026.83 1178.71, 3027.56 1178.22, 3027.57 1178.21, 3027.86 1177.97, 3028.02 1177.91, 3028.49 1177.64, 3029.28 1177.72, 3029.38 1177.79, 3029.42 1177.8, 3029.46 1177.67, 3029.46 1177.53, 3029.35 1177.01, 3029.28 1176.65, 3029 1175.64, 3028.82 1175.2, 3028.07 1173.78, 3027.88 1173.41, 3027.49 1172.67, 3027.3 1172.28, 3027.22 1172.13, 3027.03 1171.75, 3026.84 1171.38, 3026.7 1171.12, 3026.45 1170.67, 3026.43 1170.61, 3025.74 1169.3, 3025.5 1168.81, 3025.21 1168.23, 3024.8 1167.46, 3024.57 1167.07, 3024.12 1166.34, 3023.74 1165.92, 3023.45 1165.63, 3021.62 1164.06, 3020.57 1163.16, 3019.55 1162.38, 3019.17 1162.17, 3017.76 1161.59, 3017.07 1161.33, 3016.64 1161.15, 3015.88 1160.9, 3015.72 1160.87, 3015.45 1160.68, 3014.88 1160.44, 3014.52 1160.28, 3014.41 1160.22, 3013.98 1160.01, 3013.69 1159.79, 3013.46 1159.55, 3013.16 1159.16, 3012.94 1158.86, 3012.55 1158.3, 3012.31 1157.94, 3012.07 1157.58, 3011.84 1157.19, 3011.69 1156.86, 3011.61 1156.46, 3011.45 1156, 3010.86 1155.09, 3010.62 1154.72, 3010.5 1155.12, 3010.4 1155.49, 3010.18 1156.21, 3010.05 1156.56, 3009.89 1156.9, 3009.5 1157.65, 3009.43 1157.97, 3009.27 1158.32, 3009.15 1158.69, 3008.62 1159.47, 3008.31 1159.96, 3008.06 1160.49, 3007.78 1160.95, 3007.57 1161.38, 3007.44 1161.79, 3007.37 1162.18, 3007.03 1162.16, 3006.79 1162.14, 3006.38 1162.45, 3006.2 1162.68, 3005.96 1163.06, 3005.62 1163.47, 3005.08 1163.84, 3004.21 1164.44, 3003.82 1164.77, 3003.47 1165.3, 3003.41 1165.69, 3003.45 1166.33, 3003.45 1166.39, 3003.43 1166.74, 3003.37 1167.79, 3003.36 1167.82, 3003.17 1168.36, 3002.61 1169.07, 3002.33 1169.36, 3002.01 1169.73, 3001.66 1169.71, 3001.34 1170.01, 3001.05 1170.24, 3000.75 1170.48, 3000.13 1170.87, 2999.8 1171.09, 2999.79 1171.18))",13.302606,5500,,,,,,
Alma Bridge,AB05,,AB05,"POLYGON ((3007.46 1196.84, 3007.13 1197.04, 3006.57 1197.29, 3005.72 1197.66, 3005.36 1197.82, 3005 1198.1, 3004.45 1198.53, 3003.57 1199.22, 3003.38 1199.11, 3003 1199.32, 3002.86 1199.42, 3002.6 1199.56, 3002.57 1199.68, 3002.07 1200.05, 3001.34 1200.34, 2999.69 1200.27, 2997.68 1200.13, 2996.25 1199.98, 2996 1200.96, 2996 1201, 2994.47 1201, 2994.4 1201.1, 2994.41 1201.12, 2993.98 1201.87, 2992.52 1204.64, 2991.51 1206.14, 2991.5 1206.17, 2991.52 1206.76, 2991.51 1206.87, 2990.94 1207.14, 2989.47 1209.69, 2988.63 1210.48, 2987.84 1210.88, 2987.84 1214, 3034.6 1214, 3034.96 1213.99, 3034.96 1213.61, 3034.89 1213.06, 3034.82 1212.6, 3034.77 1212.13, 3034.52 1212.02, 3034.4 1211.29, 3034.32 1210.81, 3034.37 1210.75, 3034.55 1210.77, 3034.82 1210.86, 3034.97 1210.9, 3035.12 1209.72, 3035.42 1208.5, 3035.56 1207.93, 3035.73 1207.3, 3035.87 1206.8, 3035.83 1206.33, 3035.79 1205.9, 3034.56 1205.96, 3034.14 1205.98, 3033.5 1206.02, 3031.78 1206.1, 3031.15 1206.12, 3031.13 1206.12, 3030.52 1206.02, 3030.03 1206.35, 3029.82 1206.11, 3028.8 1206.14, 3028.42 1206.16, 3027.57 1206.25, 3027.01 1206.27, 3026.82 1206.29, 3026.21 1206.37, 3025.85 1206.39, 3025.33 1206.4, 3024.6 1206.4, 3024.47 1206.41, 3023.84 1206.41, 3023.5 1206.4, 3023.06 1206.39, 3022.85 1206.37, 3022.33 1206.33, 3021.81 1206.26, 3020.74 1205.82, 3020.38 1205.66, 3019.79 1205.41, 3019.37 1205.22, 3019.13 1205.12, 3018.76 1204.96, 3018.18 1204.7, 3018.12 1204.64, 3017.8 1204.36, 3017.49 1204.01, 3017.22 1203.69, 3016.75 1203.48, 3016.69 1203.41, 3016.38 1203.03, 3016.07 1202.78, 3015.31 1202.36, 3014.62 1201.86, 3014.24 1201.59, 3013.9 1201.35, 3013.33 1201.05, 3012.98 1200.89, 3012.8 1200.49, 3012.61 1200.1, 3012.46 1199.76, 3012.34 1199.39, 3011.89 1199.25, 3011.44 1199.19, 3010.8 1199.34, 3010.22 1199.39, 3010.13 1198.97, 3010.25 1198.55, 3010.37 1198.17, 3010.71 1197.47, 3010.78 1197.42, 3010.86 1197.11, 3010.92 1196.7, 3010.93 1196.5, 3010.99 1195.86, 3011.05 1195.65, 3011.01 1195.6, 3011.1 1194.4, 3010.64 1194.73, 3010.1 1195.1, 3009.17 1195.72, 3008.81 1195.95, 3007.89 1196.56, 3007.46 1196.84))",8.153119,9000,,,,,,
