County,Shape_ID,geometry,Area,Type,Location,Base_Density,Base_Pop,Est_Density,Est_Pop
A01,A01_001,"POLYGON ((2883.27 1328.07, 2878.63 1333.14, 2877.3 1328.75, 2875.08 1326.19, 2878.04 1323.18, 2883.27 1328.07))",0.577635,City,Inner City,12061.5,6967,13890.9,8024
A01,A01_002,"POLYGON ((2866.75 1312, 2864.7 1312.61, 2866.44 1313.1, 2867.38 1314.11, 2869.13 1316.06, 2873.67 1314.8, 2884.05 1315.77, 2886.03 1315.6, 2886.03 1312, 2866.75 1312))",1.008987,City,Inner City,11867.4,11974,10213.6,10305
A01,A01_003,"POLYGON ((2876.55 1317.07, 2879.48 1318.86, 2880.46 1318.54, 2881.81 1319.62, 2878.04 1323.18, 2873.18 1320.43, 2876.55 1317.07))",0.416791,City,Inner City,12828.5,5347,15304.8,6379
A01,A01_004,"POLYGON ((2869.47 1318.22, 2869.13 1316.06, 2873.67 1314.8, 2876.55 1317.07, 2873.18 1320.43, 2869.47 1318.22))",0.386001,City,Inner City,13088.8,5052,12995.8,5016
A01,A01_005,"POLYGON ((2878.04 1323.18, 2875.08 1326.19, 2871.12 1324.34, 2873.18 1320.43, 2878.04 1323.18))",0.327799,City,Inner City,13758.3,4510,14029.8,4599
A01,A01_006,"POLYGON ((2864.22 1321.11, 2861.32 1317.88, 2858.36 1316.33, 2860.17 1314.99, 2864.7 1312.61, 2866.44 1313.1, 2867.38 1314.11, 2869.13 1316.06, 2869.47 1318.22, 2867.45 1320.64, 2864.22 1321.11))",0.866579,City,Inner City,11787.8,10215,12704.9,11010
A01,A01_007,"POLYGON ((2873.18 1320.43, 2871.12 1324.34, 2863.83 1322.69, 2864.22 1321.11, 2867.45 1320.64, 2869.47 1318.22, 2873.18 1320.43))",0.477335,City,Inner City,12445.7,5941,17296.7,8256
A01,A01_008,"POLYGON ((2864.7 1312.61, 2860.17 1314.99, 2858.36 1316.33, 2855.91 1315.33, 2858.5 1312, 2866.75 1312, 2864.7 1312.61))",0.319124,City,Inner City,13884.1,4431,14951.9,4772
A01,A01_009,"POLYGON ((2852.91 1312, 2858.5 1312, 2855.91 1315.33, 2852.91 1317.75, 2851.6 1315.54, 2850.81 1314.18, 2852.91 1312))",0.373873,City,Inner City,13207.0,4938,13446.5,5027
A01,A01_010,"POLYGON ((2871.12 1324.34, 2875.08 1326.19, 2877.3 1328.75, 2872.03 1330.81, 2870.3 1326.08, 2871.12 1324.34))",0.381007,City,Inner City,13136.3,5005,11968.0,4560
A01,A01_011,"POLYGON ((2855.91 1315.33, 2858.36 1316.33, 2855.49 1320.09, 2852.91 1317.75, 2855.91 1315.33))",0.197518,City,Inner City,17074.6,3373,11318.0,2236
A01,A01_012,"POLYGON ((2863.83 1322.69, 2864.22 1321.11, 2861.32 1317.88, 2858.36 1316.33, 2855.49 1320.09, 2856.95 1320.67, 2859.83 1324.15, 2863.83 1322.69))",0.578048,City,Inner City,12060.4,6971,13219.4,7641
