Zone,County,District,Shape_ID,geometry,Area,Population_Density,Region,Location,County_Type,Capacity,Population,District_Ward
Alington,A1,,A1_017,"POLYGON ((2864 1334, 2864 1356, 2908 1356, 2908 1312, 2842 1312, 2842 1334, 2864 1334))",37.7181,,,,,,,
Alington,A10,,A10_025,"POLYGON ((2754 1223, 2754 1268, 2842 1268, 2842 1223, 2754 1223))",61.7206,,,,,,,
Alington,A11,,A11_026,"POLYGON ((2842 1223, 2842 1268, 2908 1268, 2908 1223, 2842 1223))",46.2905,,,,,,,
Alington,A12,,A12_006,"POLYGON ((2842 1268, 2842 1290, 2842 1312, 2908 1312, 2908 1268, 2842 1268))",45.2618,,,,,,,
Alington,A2,,A2_016,"POLYGON ((2842 1334, 2842 1356, 2864 1356, 2864 1334, 2842 1334))",7.5436,,,,,,,
Alington,A3,,A3_018,"POLYGON ((2854 1356, 2854 1378, 2886 1378, 2886 1400, 2908 1400, 2908 1356, 2854 1356))",26.0598,,,,,,,
Alington,A4,,A4_019,"POLYGON ((2886 1378, 2820 1378, 2820 1400, 2886 1400, 2886 1378))",22.6309,,,,,,,
Alington,A5,,A5_020,"POLYGON ((2820 1400, 2798 1400, 2798 1378, 2798 1356, 2854 1356, 2854 1378, 2820 1378, 2820 1400))",26.7456,,,,,,,
Alington,A6,,A6_021,"POLYGON ((2798 1356, 2842 1356, 2842 1312, 2798 1312, 2798 1356))",30.1745,,,,,,,
Alington,A7,,A7_022,"POLYGON ((2820 1312, 2842 1312, 2842 1268, 2820 1268, 2820 1312))",15.0873,,,,,,,
Alington,A8,,A8_023,"POLYGON ((2798 1312, 2820 1312, 2820 1268, 2798 1268, 2798 1312))",15.0873,,,,,,,
Alington,A9,,A9_024,"POLYGON ((2798 1268, 2754 1268, 2754 1312, 2798 1312, 2798 1268))",30.1745,,,,,,,
Central,C1,,C1_072,"POLYGON ((2908 1378, 2930 1378, 2930 1356, 2908 1356, 2908 1378))",7.5436,,,,,,,
Central,C10,,C10_081,"POLYGON ((2952 1334, 2952 1312, 2996 1312, 2996 1334, 2952 1334))",15.0873,,,,,,,
Central,C11,,C11_149,"POLYGON ((2996 1334, 3018 1334, 3018 1312, 2996 1312, 2996 1334))",7.5436,,,,,,,
Central,C12,,C12_151,"POLYGON ((3018 1334, 3040 1334, 3040 1312, 3018 1312, 3018 1334))",7.5436,,,,,,,
Central,C13,,C13_150,"POLYGON ((3018 1356, 3040 1356, 3040 1334, 3018 1334, 3018 1356))",7.5436,,,,,,,
Central,C14,,C14_111,"POLYGON ((3040 1334, 3062 1334, 3062 1356, 3040 1356, 3040 1334))",7.5436,,,,,,,
Central,C15,,C15_115,"POLYGON ((3062 1334, 3040 1334, 3040 1312, 3062 1312, 3062 1334))",7.5436,,,,,,,
Central,C16,,C16_116,"POLYGON ((3062 1334, 3062 1312, 3084 1312, 3084 1334, 3062 1334))",7.5436,,,,,,,
Central,C17,,C17_108,"POLYGON ((3062 1356, 3084 1356, 3084 1334, 3062 1334, 3062 1356))",7.5436,,,,,,,
Central,C18,,C18_109,"POLYGON ((3084 1356, 3106 1356, 3106 1334, 3084 1334, 3084 1356))",7.5436,,,,,,,
Central,C19,,C19_117,"POLYGON ((3084 1334, 3106 1334, 3106 1356, 3128 1356, 3128 1312, 3084 1312, 3084 1334))",22.6309,,,,,,,
Central,C2,,C2_073,"POLYGON ((2908 1356, 2930 1356, 2930 1334, 2908 1334, 2908 1356))",7.5436,,,,,,,
Central,C20,,C20_114,"POLYGON ((3084 1400, 3084 1378, 3106 1378, 3106 1356, 3128 1356, 3128 1400, 3084 1400))",22.6309,,,,,,,
Central,C21,,C21_110,"POLYGON ((3062 1356, 3062 1378, 3106 1378, 3106 1356, 3062 1356))",15.0873,,,,,,,
Central,C22,,C22_112,"POLYGON ((3040 1356, 3040 1378, 3062 1378, 3062 1356, 3040 1356))",7.5436,,,,,,,
Central,C23,,C23_113,"POLYGON ((3040 1378, 3040 1400, 3084 1400, 3084 1378, 3040 1378))",15.0873,,,,,,,
Central,C24,,C24_096,"POLYGON ((3084 1444, 3128 1444, 3128 1400, 3084 1400, 3084 1444))",30.1745,,,,,,,
Central,C25,,C25_095,"POLYGON ((3040 1444, 3084 1444, 3084 1400, 3040 1400, 3040 1444))",30.1745,,,,,,,
Central,C26,,C26_075,"POLYGON ((2996 1444, 2996 1400, 3040 1400, 3040 1444, 2996 1444))",30.1745,,,,,,,
Central,C27,,C27_074,"POLYGON ((2952 1444, 2952 1400, 2996 1400, 2996 1444, 2952 1444))",30.1745,,,,,,,
Central,C3,,C3_077,"POLYGON ((2908 1334, 2908 1312, 2952 1312, 2952 1378, 2930 1378, 2930 1334, 2908 1334))",30.1745,,,,,,,
Central,C4,,C4_076,"POLYGON ((2908 1378, 2908 1400, 2952 1400, 2952 1378, 2930 1378, 2908 1378))",15.0873,,,,,,,
Central,C5,,C5_078,"POLYGON ((2952 1356, 2952 1400, 2996 1400, 2996 1378, 2974 1378, 2974 1356, 2952 1356))",22.6309,,,,,,,
Central,C6,,C6_079,"POLYGON ((2996 1400, 2996 1378, 3018 1378, 3018 1356, 3040 1356, 3040 1400, 2996 1400))",22.6309,,,,,,,
Central,C7,,C7_153,"POLYGON ((2974 1356, 2974 1378, 3018 1378, 3018 1356, 2974 1356))",15.0873,,,,,,,
Central,C8,,C8_152,"POLYGON ((2974 1356, 3018 1356, 3018 1334, 2974 1334, 2974 1356))",15.0873,,,,,,,
Central,C9,,C9_080,"POLYGON ((2952 1356, 2952 1334, 2974 1334, 2974 1356, 2952 1356))",7.5436,,,,,,,
